data_source,assess_year,country,level,date,regional,location,risk_factor
US,2019,Afghanistan,Level 4: Do Not Travel,4/9/19,,,"crime, terrorism, civil unrest, kidnapping, and armed conflict. "
US,2019,Albania,Level 1: Exercise Normal Precautions,7/10/19,,,
US,2019,Albania,Level 2: Exercise Increased Caution,6/27/19,1,The southern town of Lazarat,crime
US,2019,Algeria,Level 2: Exercise Increased Caution,4/9/19,,,Terrorism
US,2019,Algeria,Level 4: Do Not Travel,4/9/19,1,Eastern and southern borders,"Terrorism and criminal activities, including kidnapping."
US,2019,Algeria,Level 4: Do Not Travel,4/9/19,1,Sahara Desert,"Terrorism and criminal activities, including kidnapping."
US,2019,Andorra,Level 1: Exercise Normal Precautions,8/28/18,,,
US,2019,Angola,Level 1: Exercise Normal Precautions,4/9/19,,,crime and kidnapping
US,2019,Anguilla,Level 1: Exercise Normal Precautions,5/7/19,,,
US,2019,Antarctica,Level 2: Exercise Increased Caution,1/10/19,,,extreme and unpredictable weather
US,2019,Antigua and Barbuda,Level 1: Exercise Normal Precautions,2/26/19,,,
US,2019,Antigua and Barbuda,Level 1: Exercise Normal Precautions,2/26/19,1,Island of Barbuda ,aftermath of natural disaster 
US,2019,Argentina,Level 1: Exercise Normal Precautions,12/3/18,,,
US,2019,Armenia,Level 1: Exercise Normal Precautions,12/13/18,,,
US,2019,Armenia,Level 4: Do Not Travel,12/13/18,1,Nagorno-Karabakh,armed conflict 
US,2019,Aruba,Level 1: Exercise Normal Precautions,1/8/19,,,
US,2019,Australia,Level 1: Exercise Normal Precautions,12/6/18,,,
US,2019,Austria,Level 1: Exercise Normal Precautions,11/16/18,,,
US,2019,Azerbaijan,Level 2: Exercise Increased Caution,12/13/18,,,
US,2019,Azerbaijan,Level 4: Do Not Travel,12/13/18,1,Nagorno-Karabakh,armed conflict 
US,2019,Bahrain,Level 1: Exercise Normal Precautions,5/17/19,,,
US,2019,Bangladesh,Level 2: Exercise Increased Caution,4/9/19,,,
US,2019,Bangladesh,Level 3: Reconsider Travel,4/9/19,1,Southeast Bangladesh,kidnapping
