rgn_id,rgn_name,potential_prod_one_percent_b,potential_prod_max_b,potential_prod_one_percent_f,potential_prod_max_f
5,New Caledonia,4546.6940475,830426.5243175001,758192.972,64477675.7031
15,Philippines,227973.9863908972,17286712.092903085,3629421.506,331283541.3707
16,Australia,5903129.405723632,349562257.8707655,32107571.6530842,2563351803.18368
17,Papua New Guinea,1308387.0472941676,97326420.21807925,2757890.08,253059560.96
18,Fiji,40640.152154129275,3738073.385103805,679547.532,63822415.6665
20,South Korea,60437.164892500004,3150498.53712,171684.813633227,12117309.481874
21,North Korea,497169.8862625,23978039.634037502,338581.766788288,24014244.1560931
24,Cambodia,160710.53001202818,13438308.624017613,564945.911,53584953.05
25,Thailand,840194.9047429217,60852482.92323695,2490273.787,230850727.581
31,Seychelles,5466.29776,884470.5771825,849275.54,80421350.698
40,Sri Lanka,366058.9312773525,26893324.894321077,397217.626,35523082.299
41,Mozambique,894936.9282116285,69934338.2002617,1423671.943,130105619.7056
42,Madagascar,851482.9238633851,60009689.107375704,1932074.857,170032370.3687
43,Kenya,60149.27739394833,5550268.53340982,131207.552,12456361.304
44,Somalia,9281.549365,1135839.1163350001,783502.956,72284432.04
45,Eritrea,29389.9052975,2478765.2017975003,663286.39,63771235.927
47,Yemen,45961.988325,3061649.5623175,593449.088,54757501.105
48,Oman,1103161.7615425,94120206.007135,558129.602,45135942.7355
50,Saudi Arabia,75408.3740025,2496002.9260375,1018443.60454233,85062923.6892423
51,Kuwait,12701.3371375,608709.8872525,54294.515,4182733.9211
52,Bahrain,4046.0579775,261778.21810250002,28227.879,2671846.603
53,Pakistan,656364.63035,54861514.7471875,272069.73,24315203.9204
54,United Arab Emirates,6246.243135000001,376477.52480250003,264167.178502172,25015307.5424232
61,Tunisia,271726.9277525,9883336.9131475,378096.2617,32310061.0358
62,Morocco,626850.349235,53748479.650772505,351409.7315,32990127.7937
63,Western Sahara,517789.08846500004,44021296.6496875,133278.5175,12519657.4135
64,Mauritania,718600.2125775,63648607.268262506,262091.939,22553223.5952
65,Gambia,113471.9784275,10518518.12209,53302.014,5049695.946
66,Senegal,386058.2660825,36016304.92394,242045.504,21072366.9882
67,Libya,6194.980825000001,395990.11683,694924.3782,64822944.1757
73,Russia,197667.90997139725,8306029.544228901,1330903.7841,55072040.33456
74,Georgia,2820.2819975,170574.5562125,21698.6445,2137614.7679
75,Ukraine,117168.9395525,4342212.71055,593788.581014297,31760413.0292863
76,Turkey,16295.6731025,758234.6441725,82568.6264,6803956.4803
80,Greece,6257.3128750000005,569681.5413575,58795.6906,5425419.1814
96,Sierra Leone,638214.9685877267,56118188.3316373,384899.969,36425027.931
97,Liberia,55085.927325000004,5224829.8937175,280965.349,26551776.553
100,Republique du Congo,96123.47351750001,8809170.113425,72641.225,6946110.3453
101,Namibia,3152900.33267,273723381.70284253,969952.0982,93803323.9505
102,South Africa,2320858.87319,178841579.827185,1091166.4552,91843404.4978
104,Equatorial Guinea,17033.081505000002,1954243.0161925,159543.182,15094623.376
110,Bahamas,497408.57643509185,34086266.9957051,1331301.862,123123873.0476
112,Cuba,968303.0248100001,60630994.2913675,822621.631,75321848.8582
115,Dominican Republic,33470.26299257492,3296106.844696298,122398.994,11607074.587
126,Trinidad and Tobago,259329.95809740882,24061397.2660592,161667.393,15562706.136
129,Panama,275885.6717080365,21457518.86828349,508951.381,46920841.524
130,Costa Rica,116648.87503353728,10706468.024169197,174574.803,16463434.419
131,Nicaragua,202128.71649629204,16043052.430231834,1084988.05,101773983.866
132,Colombia,969914.1741439563,81460478.81628497,577867.585,52436086.362
133,Honduras,145965.08980402388,13029541.58048147,794318.613,76129217.322
134,El Salvador,74419.25719250001,6704442.5299225,204801.256,19359227.272
135,Mexico,2775875.130871453,197515350.29715145,5936141.166,519616077.9975
136,Guatemala,26613.0352675,2070608.3330350001,159064.475,15305491.482
137,Ecuador,299818.5497725,23784299.0576125,389519.534,33693688.4971
138,Peru,3261095.2043725,268814798.80879253,579281.292,47778923.2695
139,Venezuela,2469382.208096796,213395690.0625781,1202890.555,110447181.2654
162,New Zealand,606581.2213725001,53382106.3513925,3366108.0364,265310107.753
163,United States,3088537.7764725,171150475.19889,10971632.1926299,882106457.26958
164,Belize,86287.22685,7467245.194585,157408.383,14507901.819
167,Guyana,1438896.9470748482,128367084.7116009,831460.313,78951395.353
168,Suriname,1171713.377201895,105653433.51070695,898334.193,82346411.6
169,French Guiana,1626828.9133852883,147670442.9418155,737093.418,68833448.882
171,Brazil,8329973.107865917,632860100.8586121,8811450.221,730813588.2758
172,Argentina,5072230.025225,400742190.013605,12304787.2429,951202410.5922
173,Uruguay,1421611.35006,94013307.1549375,545264.043,51317188.7929
179,France,134160.402035,12142357.970875,99849.6292,8262411.9103
180,United Kingdom,23299.49831,2319525.935705,801561.1641,64363844.6937
181,Ireland,12887.077115,1330177.434465,684891.1362,61694235.7512
182,Spain,17407.897485,1199096.537265,13509.2239,1297114.0662
183,Portugal,18185.2055,1621223.8580175,10797.6778,1075860.5301
184,Italy,9903.7805625,498500.212045,99916.3553,7548412.0155
190,Qatar,28342.115009402976,1090554.0034527162,65559.263,6261008.2532
191,Iran,87725.37864750001,3321863.46778,198055.91,16363516.7741
193,Guinea Bissau,1162074.2183325,96494674.2192125,364595.727,34376946.372
194,Guinea,1340421.547458202,112013153.46032129,722398.815,69226919.923
195,Ivory Coast,25359.97475,2373792.1907975003,169427.247,15678721.445
198,Gabon,202442.95838250002,15548302.473632501,521285.163,48485077.9351
199,Democratic Republic of the Congo,10876.8851675,1208361.3977875,26946.621,2695757.373
200,Angola,865431.1895075,71372186.87192,635727.025,54792528.4803
202,Tanzania,61867.167367500006,5540118.624177501,293979.417,28022262.986
203,India,3901323.7312368276,292603202.4619303,4884218.54,456227986.7277
204,Bangladesh,1066091.8843892955,77741397.05552441,1027337.282,97721384.269
205,Myanmar,2666322.662671932,216172152.6506278,3501079.106,320235010.981
206,Malaysia,1623127.8197062996,123486048.10168962,4324631.502,382954499.978
207,Vietnam,1823550.8534925662,138696815.38162974,4285874.144,395753183.344
209,China,288319.903575,22561713.54833,1354433.57758448,115304348.598324
210,Japan,412886.63958627527,24232692.68814127,1914572.002,139734072.55113
214,Egypt,125002.55413250001,9929239.1969925,186861.449,15546432.9523
216,Indonesia,13129164.704662215,1025740991.4105172,26535207.063,2417661176.578
218,Canada,2786491.957228045,140007649.5844081,2256566.71,136451394.50294
224,Chile,2759711.31183,227153642.2569975,2525885.482,193317180.4937
247,Brunei,110867.55559,9236758.440552501,83322.266,7963441.317
1,Cocos Islands,NA,NA,2587.3,351983.827
2,Christmas Island,NA,NA,5623.06,547019.816
3,Norfolk Island,NA,NA,41013.7994,3881569.2786
4,Macquarie Island,NA,NA,9456.7753,916684.1525
6,Vanuatu,NA,NA,88850.304,8224023.1989
7,Solomon Islands,NA,NA,447515.375,41911273.875
8,Palau,NA,NA,48799.162,4813887.738
9,Micronesia,NA,NA,389938.108,37739857.447
10,Nauru,NA,NA,NA,NA
11,Marshall Islands,NA,NA,328152.095,31862685.569
12,Wake Island,NA,NA,1344.361,181123.679
13,Northern Mariana Islands and Guam,NA,NA,12625.794,1265710.283
14,Taiwan,NA,NA,9597.607,971383.888
19,Tuvalu,NA,NA,68572.8,6691516.056
26,Andaman and Nicobar,NA,NA,481887.484,44480447.721
28,Comoro Islands,NA,NA,18364.879,1792352.116
29,Mayotte,NA,NA,29260.207,2955644.814
30,Glorioso Islands,NA,NA,18222.628,1860757.79
32,Reunion,NA,NA,1164.426,145634.9332
33,Juan de Nova Island,NA,NA,22583.022,2218389.322
34,Bassas da India,NA,NA,2720.169,393353.852
35,Ile Europa,NA,NA,NA,NA
36,Ile Tromelin,NA,NA,NA,NA
37,Mauritius,NA,NA,659002.416,60177977.7799
38,British Indian Ocean Territory,NA,NA,359573.46,34742267.469
39,Maldives,NA,NA,454944.126,43510860.026
46,Djibouti,NA,NA,25682.133,2394287.063
49,Sudan,NA,NA,169599.611,15939263.342
55,Azores,NA,NA,9807.1382,965141.0567
56,Cape Verde,NA,NA,51343.837,4887730.3211
57,Madeira,NA,NA,6328.3044,644605.4975
58,Canary Islands,NA,NA,11170.1859,1151700.1108
59,Belgium,NA,NA,NA,NA
60,Gibraltar,NA,NA,NA,NA
68,Malta,NA,NA,4969.7523,480238.3268
69,Latvia,NA,NA,2930.9033,115613.75553
70,Estonia,NA,NA,8378.5847,205113.44173
71,Bulgaria,NA,NA,NA,NA
72,Romania,NA,NA,10178.438646453,899750.475280814
77,Syria,NA,NA,4028.921,407446.7418
78,Lebanon,NA,NA,4038.92,426714.6106
79,Israel,NA,NA,10954.435,1093600.2184
81,Cyprus,NA,NA,9565.7419,953527.9349
82,Albania,NA,NA,21983.5354,2088347.352
84,Algeria,NA,NA,25139.5437,2384112.838
85,Ascension,NA,NA,NA,NA
86,Saint Helena,NA,NA,8546.3786,875801.7217
88,Tristan da Cunha,NA,NA,13282.6884,1324689.6741
89,South Georgia and the South Sandwich Islands,NA,NA,8827.4692,170514.39481
90,Prince Edward Islands,NA,NA,21880.4545,2163397.337
91,Crozet Islands,NA,NA,105725.4251,10422194.6237
92,Amsterdam Island and Saint Paul Island,NA,NA,709.7332,114887.741
93,Kerguelen Islands,NA,NA,984552.482,87230880.2675
94,Heard and McDonald Islands,NA,NA,65513.8893,2674513.06756
95,Falkland Islands,NA,NA,2675027.3294,247295745.026
98,Togo,NA,NA,14687.821,1501487.59
99,Benin,NA,NA,31504.122,3021193.113
103,Sao Tome and Principe,NA,NA,25280.045,2467733.804
105,Bouvet Island,NA,NA,NA,NA
106,Ghana,NA,NA,124366.331,11736391.782
107,Clipperton Island,NA,NA,NA,NA
108,Bermuda,NA,NA,11855.3814,1180232.5726
111,Turks and Caicos Islands,NA,NA,96342.14,9295102.821
113,Cayman Islands,NA,NA,2666.968,288949.288
114,Haiti,NA,NA,59353.827,5617174.528
116,Puerto Rico and Virgin Islands of the United States,NA,NA,23138.304,2337157.137
117,British Virgin Islands,NA,NA,NA,NA
118,Anguilla,NA,NA,21506.125,2098178.719
119,Saint Kitts and Nevis,NA,NA,NA,NA
120,Antigua and Barbuda,NA,NA,36327.199,3451912.226
121,Montserrat,NA,NA,NA,NA
122,Saint Lucia,NA,NA,5271.556,519745.195
123,Dominica,NA,NA,5135.814,505356.518
124,Barbados,NA,NA,NA,NA
125,Grenada,NA,NA,14889.563,1561170.429
127,Saint Vincent and the Grenadines,NA,NA,26618.432,2673167.902
140,Guadeloupe and Martinique,NA,NA,28546.286,2846928.195
141,Faeroe Islands,NA,NA,259007.3213,24224036.9193
143,Iceland,NA,NA,790374.8022,51464477.82168
144,Jan Mayen,NA,NA,NA,NA
145,Greenland,NA,NA,74986.2001,1356488.993416
146,Pitcairn,NA,NA,961.9555,106606.3947
147,French Polynesia,NA,NA,402869.174,36969476.8246
148,Line Islands (Kiribati),NA,NA,11287.934,1082376.131
149,Jarvis Island,NA,NA,NA,NA
150,Palmyra Atoll,NA,NA,1409.6,171046.739
151,American Samoa,NA,NA,4231.032,503458.735
152,Samoa,NA,NA,28113.45,2890669.47
153,Cook Islands,NA,NA,15552.088,1449026.2878
154,Niue,NA,NA,1272.276,219011.404
155,Tonga,NA,NA,132083.443,10731074.2474
156,Tokelau,NA,NA,1400.462,224950.59
157,Phoenix Islands (Kiribati),NA,NA,9857.127,998120.413
158,Howland Island and Baker Island,NA,NA,4166.709,432811.592
159,Johnston Atoll,NA,NA,2088.012,257870.233
161,Wallis and Futuna,NA,NA,32743.106,3278455.792
166,Jamaica,NA,NA,178209.762,17119523.117
174,Finland,NA,NA,1241.5177,17375.9247
175,Denmark,NA,NA,11391.321,565087.01765
176,Germany,NA,NA,13897.9367,963046.8314
177,Netherlands,NA,NA,NA,NA
178,Poland,NA,NA,13002.7904,746217.6402
185,Monaco,NA,NA,NA,NA
186,Montenegro,NA,NA,23574.6114,2335959.5694
187,Croatia,NA,NA,18759.2122,1856975.7548
188,Slovenia,NA,NA,NA,NA
189,Lithuania,NA,NA,10085.6299,336247.1952
192,Iraq,NA,NA,2213.554,211368.92310000001
196,Nigeria,NA,NA,312136.121,29399963.183
197,Cameroon,NA,NA,144580.654,13884482.635
208,Singapore,NA,NA,NA,NA
212,Gilbert Islands (Kiribati),NA,NA,70729.733,6768528.284
213,Antarctica,NA,NA,NA,NA
215,Jordan,NA,NA,NA,NA
219,Saint Pierre and Miquelon,NA,NA,NA,NA
220,Sint Maarten,NA,NA,NA,NA
221,Northern Saint-Martin,NA,NA,2517.472,347889.129
222,Sweden,NA,NA,4825.8568,202556.39871
223,Norway,NA,NA,204374.4934,11557513.08555
227,Jersey,NA,NA,NA,NA
228,Guernsey,NA,NA,NA,NA
231,East Timor,NA,NA,31040.285,2879253.136
232,Bosnia and Herzegovina,NA,NA,NA,NA
237,Oecussi Ambeno,NA,NA,NA,NA
244,Curacao,NA,NA,NA,NA
245,Bonaire,NA,NA,NA,NA
248,Saba,NA,NA,NA,NA
249,Sint Eustatius,NA,NA,NA,NA
250,Aruba,NA,NA,NA,NA
