"rgn_id","tonnes","year"
"1",245.294040339571,"2011"
"2",382.258023826501,"2011"
"3",506.308003859948,"2011"
"4",0.00120800003642216,"2011"
"5",1639.29523868947,"2011"
"6",5589.79713093936,"2011"
"7",21839.8643237155,"2011"
"8",1974.43087957834,"2011"
"9",16221.1901234663,"2011"
"10",433.761742130381,"2011"
"11",5939.49457745142,"2011"
"12",43.3959571017278,"2011"
"13",228.861949400746,"2011"
"14",314850.727949429,"2011"
"15",1008704.33442465,"2011"
"16",213757.511905311,"2011"
"17",35468.1223239493,"2011"
"18",38954.1362989164,"2011"
"19",3637.25987816862,"2011"
"20",471487.974923856,"2011"
"21",202205.044275429,"2011"
"24",214316.769251709,"2011"
"25",512176.571181182,"2011"
"26",267333.499655641,"2011"
"28",15898.5254390929,"2011"
"29",3142.75980380982,"2011"
"30",707.598356395164,"2011"
"31",5776.72515468615,"2011"
"32",306.710111606274,"2011"
"33",1015.19215521749,"2011"
"34",233.333194840879,"2011"
"35",156.928661077295,"2011"
"36",121.293978705234,"2011"
"37",7041.22932917068,"2011"
"38",145.528425567066,"2011"
"39",19487.30686068,"2011"
"40",113545.688449546,"2011"
"41",302214.491169698,"2011"
"42",191722.358033005,"2011"
"43",13876.979523453,"2011"
"44",66985.3711770799,"2011"
"45",23026.2406893158,"2011"
"46",4194.98496742249,"2011"
"47",136691.091491002,"2011"
"48",119869.868223632,"2011"
"49",181150.682556572,"2011"
"50",739784.704556434,"2011"
"51",50670.2724658203,"2011"
"52",40451.7229296875,"2011"
"53",308645.27667223,"2011"
"54",78565.1417337036,"2011"
"55",69354.7731687401,"2011"
"56",5663.51502701606,"2011"
"57",7372.76195217211,"2011"
"58",37041.5910237084,"2011"
"59",6134.6643182373,"2011"
"60",835.436561279297,"2011"
"61",55488.9021774181,"2011"
"62",226161.73300169,"2011"
"63",36221.2414429292,"2011"
"64",226236.453994422,"2011"
"65",57186.8632401948,"2011"
"66",209780.605723068,"2011"
"67",22778.0287512597,"2011"
"68",8897.32445727713,"2011"
"69",3933.07566679001,"2011"
"70",3008.52105421543,"2011"
"71",5550.16101446117,"2011"
"72",2023.55355466119,"2011"
"73",4923241.470197,"2011"
"74",1107.39010821071,"2011"
"75",11810.063554285,"2011"
"76",160167.210420315,"2011"
"77",4301.15187921837,"2011"
"78",6342.76387740059,"2011"
"79",5922.78716415265,"2011"
"80",75095.5922081591,"2011"
"81",4983.25273434036,"2011"
"82",3542.66066030502,"2011"
"84",36620.1216822444,"2011"
"85",241.204282394578,"2011"
"86",6909.2984275506,"2011"
"88",2799.58832078261,"2011"
"89",1047.19699799776,"2011"
"90",149.390010344733,"2011"
"91",5.94782797420397,"2011"
"92",0.379199991934001,"2011"
"93",5129.13212317384,"2011"
"94",2184.8771855116,"2011"
"95",81874.0651056831,"2011"
"96",368048.894223191,"2011"
"97",30329.8285990045,"2011"
"98",12616.6477314866,"2011"
"99",6282.73099995256,"2011"
"100",21822.0241085314,"2011"
"101",46164.3170104588,"2011"
"102",33068.7732955137,"2011"
"103",4100.96707784846,"2011"
"104",44130.938355207,"2011"
"105",0,"2011"
"106",72867.7521812862,"2011"
"107",1.6624649988328,"2011"
"108",110.073478387078,"2011"
"110",15902.3066759089,"2011"
"111",2908.41549554505,"2011"
"112",24094.712118982,"2011"
"113",61.1140004092781,"2011"
"114",33796.4679959874,"2011"
"115",18117.340822081,"2011"
"116",4448.24099361682,"2011"
"117",1872.65650616531,"2011"
"118",3991.8899035179,"2011"
"119",811.1827181627,"2011"
"120",2547.28918266773,"2011"
"121",653.495416597025,"2011"
"122",967.90206199646,"2011"
"123",2226.53011844416,"2011"
"124",857.308092337102,"2011"
"125",443.598049943149,"2011"
"126",10701.7595210829,"2011"
"127",311.922654519901,"2011"
"129",39878.6805395229,"2011"
"130",17260.5469884959,"2011"
"131",29520.7332638746,"2011"
"132",10811.5269505851,"2011"
"133",18998.0712510545,"2011"
"134",21762.0936760324,"2011"
"135",811343.183980765,"2011"
"136",8748.58400381487,"2011"
"137",83255.5547509892,"2011"
"138",523959.00936026,"2011"
"139",82863.6297135276,"2011"
"140",5754.63335031799,"2011"
"141",51882.3940490179,"2011"
"143",343297.041728623,"2011"
"144",9893.86250023022,"2011"
"145",395055.037857691,"2011"
"146",1.78485354715958,"2011"
"147",8697.34257404884,"2011"
"148",118.799379447429,"2011"
"149",134.027283956232,"2011"
"150",514.319914819653,"2011"
"151",868.426993765165,"2011"
"152",15421.9896199106,"2011"
"153",865.862142581947,"2011"
"154",0.827772994535044,"2011"
"155",2725.53769738828,"2011"
"156",148.646099613225,"2011"
"157",591.616752091027,"2011"
"158",22.2210048682895,"2011"
"159",377.382837402902,"2011"
"161",1281.8458666908,"2011"
"162",466810.763722704,"2011"
"163",2475964.31633294,"2011"
"164",5322.65123853445,"2011"
"166",30838.3802221698,"2011"
"167",74932.0001423406,"2011"
"168",55118.4702266115,"2011"
"169",15298.0767078008,"2011"
"171",666896.57713233,"2011"
"172",859069.083179624,"2011"
"173",113548.723957107,"2011"
"174",5645.77038368702,"2011"
"175",421753.655811157,"2011"
"176",254430.82277791,"2011"
"177",256678.007019653,"2011"
"178",51139.0482507324,"2011"
"179",217047.253134886,"2011"
"180",1311945.1504635,"2011"
"181",216912.736812779,"2011"
"182",151741.758059068,"2011"
"183",161807.988023677,"2011"
"184",145486.33647973,"2011"
"185",1523.00718800684,"2011"
"186",2662.34012126923,"2011"
"187",32434.4902821785,"2011"
"188",449.206395874023,"2011"
"189",3693.64799530029,"2011"
