"rgn_id","year","basic_sani_prop","popsum","propWO_x_pop","propWO_x_pop_log","pressure_score"
1,2011,1,4140.99499565746,0,0,0
1,2012,1,4207.4007046141,0,0,0
1,2013,1,4273.80641357074,0,0,0
1,2014,1,4340.21212252738,0,0,0
1,2015,1,4406.61783148402,0,0,0
2,2011,1,5077.77014316482,0,0,0
2,2012,1,5159.57617697653,0,0,0
2,2013,1,5241.38221078824,0,0,0
2,2014,1,5323.18824459994,0,0,0
2,2015,1,5404.99427841165,0,0,0
3,2011,1,3999.6501784569,0,0,0
3,2012,1,4013.54758724119,0,0,0
3,2013,1,4027.44499602547,0,0,0
3,2014,1,4041.34240480975,0,0,0
3,2015,1,4055.23981359404,0,0,0
4,2011,1,0,0,0,0
4,2012,1,0,0,0,0
4,2013,1,0,0,0,0
4,2014,1,0,0,0,0
4,2015,1,0,0,0,0
5,2011,1,407494.525109258,0,0,0
5,2012,1,412149.366270838,0,0,0
5,2013,1,416804.207432417,0,0,0
5,2014,1,421459.048593997,0,0,0
5,2015,1,426113.889755577,0,0,0
6,2011,0.53,360270.312872241,169327.047049953,12.0395932191963,0.590984539737507
6,2012,0.53,368486.757208247,173188.775887876,12.0621432426976,0.592091447173447
6,2013,0.53,376703.201544252,177050.504725798,12.0841959563788,0.593173943285032
6,2014,0.53,384919.645880257,180912.233563721,12.1057728227361,0.594233081596514
6,2015,0.53,393136.090216262,184773.962401643,12.1268939441712,0.595269848869531
7,2011,0.28,941402.018672913,677809.453444497,13.4266229606453,0.659069326194041
7,2012,0.29,959153.625781817,680999.07430509,13.4313176942434,0.659299775423024
7,2013,0.3,976905.232890721,683833.663023505,13.4354714466597,0.659503669642307
7,2014,0.31,994656.839999625,686313.219599741,13.4390908479007,0.659681334297385
7,2015,0.31,1012408.44710853,698561.828504886,13.4567804013863,0.660549657041724
8,2011,1,63768.7889444606,0,0,0
8,2012,1,63680.4650204361,0,0,0
8,2013,1,63592.1410964115,0,0,0
8,2014,1,63503.8171723869,0,0,0
8,2015,1,63415.4932483624,0,0,0
9,2011,0.56,384792.168777336,169308.554262028,12.0394840004452,0.590979178543639
9,2012,0.56,385447.22756467,169596.780128455,12.041184913389,0.591062670837353
9,2013,0.56,386102.286352005,169885.005994882,12.0428829381399,0.591146021359052
9,2014,0.56,386757.345139339,170173.231861309,12.0445780844897,0.591229230589385
9,2015,0.56,387412.403926673,170461.457727736,12.0462703621803,0.591312299006559
10,2011,0.66,20475.0986404856,6961.5335377651,8.84829870113814,0.434334253670174
10,2012,0.66,20532.8858387406,6981.1811851718,8.85111663765366,0.434472577024154
10,2013,0.66,20590.6730369957,7000.82883257854,8.85392665571147,0.434610511686756
10,2014,0.66,20648.4602352507,7020.47647998524,8.85672879968892,0.434748059836319
10,2015,0.66,20706.2474335058,7040.12412739197,8.8595231135914,0.434885223632925
11,2011,0.87,462155.941689828,60080.2724196776,11.00345346497,0.540123803447946
11,2012,0.87,462971.824397414,60186.3371716638,11.0052172631854,0.540210382575459
11,2013,0.87,463787.707104999,60292.4019236499,11.0069779558934,0.540296809263693
11,2014,0.87,464603.589812584,60398.4666756359,11.0087355540103,0.540383084048504
11,2015,0.87,465419.472520169,60504.531427622,11.0104900683953,0.540469207462925
12,2011,1,0,0,0,0
12,2012,1,0,0,0,0
12,2013,1,0,0,0,0
12,2014,1,0,0,0,0
12,2015,1,0,0,0,0
13,2011,0.870280373831776,265075.14997761,34385.4493615816,10.4454178518495,0.512731647087436
13,2012,0.873009259259259,267632.994071096,33986.9121637508,10.4337602157889,0.512159411584434
13,2013,0.872876712328767,270190.838164581,34347.5476461276,10.4443150157123,0.512677512442262
13,2014,0.872869955156951,272748.682258067,34674.5522063507,10.4537901702574,0.513142617013972
13,2015,0.873111111111111,275306.526351552,34933.3392326081,10.461225556613,0.513507595988188
