"zone","uv_2005_2009.2005_2009_mol_1km","uv_2006_2010.2005_2009_mol_1km","uv_2007_2011.2005_2009_mol_1km","uv_2008_2012.2005_2009_mol_1km","uv_2009_2013.2005_2009_mol_1km","uv_2010_2014.2005_2009_mol_1km","uv_2011_2015.2005_2009_mol_1km","uv_2012_2016.2005_2009_mol_1km","uv_2013_2017.2005_2009_mol_1km"
1,0,0.0330597092004722,0.00362133561865772,0.0179746515219866,0.000636691618083394,0,0,0.0116838994086446,0.00392351534769887
2,0,0.0217505840621253,0.00151337995749478,0.00175468908477225,0,0,0,0.00357295026243176,6.35090340197641e-05
3,0,0.0305711077210477,0,0,0.0135406601916614,0.00235306912999351,0.00731016678418631,0.131202093639271,0.217544251933121
4,0,0.0891166188271514,0.17285268346385,0.212085039168748,0.290071594608048,0.195346260550631,0.266514209303103,0.259195961494469,0.246675534204353
5,0,0.0332926014907926,0.00016874444472789,0.000214156396561841,0.00577447466721066,0.00864228113160871,0.0274687724443262,0.291265102609822,0.321471677237398
6,0,0.0754396368619047,0.0060558922608786,0.000310491659279223,0.00923388152660904,0.0123659995719905,0.0420682740568603,0.455667285068495,0.426095898551569
7,0,0.0806342983617026,0.158019943973436,0.179500295933105,0.160315205964586,0.115101307881842,0.0726208798710642,0.194134991594302,0.146207190157681
8,0,0.0620957169688239,0.0563250114378973,0.0224411577175881,0.0139828884034816,0.00951883121187983,0.0178804031256759,0.0946192396681308,0.109835501133447
9,0,0.0842914199920078,0.0954743071138036,0.0852137939372516,0.0807276778179687,0.0671347439391146,0.037572507764776,0.132353677201969,0.125125541522764
10,0,0.0748638858671091,0.167875888872707,0.0624522253141589,0.0295979326221599,0.0246082161984797,0.00812603834212847,0.00480272995411528,0.016886076340214
11,0,0.016077529011861,0.0263049418422522,0.0469746423445184,0.0463027814568207,0.0240452651099311,0.0201345627760403,0.0670331287841077,0.052063685519084
12,0,0.000722778155059047,0.0281969316003422,0.0201130505956924,0.0129264082943431,0.0123538636732799,0.00542492472460973,0.0914306499968676,0.134878551607953
13,0,0.0199048851945371,0.0146194684801872,0.00226324591298504,0.00789645598331207,0.00224816244671762,0.00318815279825516,0.0300069376124455,0.0604111795564114
14,0,0.0544949742382671,0.0530757006179039,0.0161455646087105,0.0112736129852047,0.0088993775660747,0.00872820308365312,0.0558958625942529,0.14493715103625
15,0,0.0917702288318567,0.0865424247945221,0.0563857219627885,0.0330070157256813,0.0190886637807958,0.0047232864503698,0.0444536084253171,0.0467431183275056
16,0,0.0370830868905169,0.00795425573391501,0.0146756934438473,0.0341020349971065,0.0263222822590922,0.0458139503447881,0.160563676962972,0.177893607189754
17,0,0.149903400254329,0.213602363877267,0.20535452401806,0.138538971104255,0.0910469011840746,0.059830101808391,0.121316088057167,0.0854457544441993
18,0,0.0551385682472503,0.00498861255483811,0.0123067921073793,0.0158459942715529,0.00809155370374433,0.0260812906899722,0.279193574047818,0.25243104833584
19,0,0.00511096768809054,0.0967455867944409,0.115066640522458,0.102354477899857,0.0825538944885011,0.0424513803131273,0.00880484850836317,0.00498680573932666
20,0,0.00353377023151858,0.0132966705157296,0.038985515075316,0.111838267822552,0.0955385674928174,0.132266956989591,0.229854235687433,0.269663247984408
21,0,0.00509022875294812,0.0274721950547125,0.0349980729294974,0,0.0407798994181229,0.0721217943155177,0.135918088667745,0.210039837837332
24,0,0.0843450659905947,0.0883945963602143,0.0327261652795892,0.00697424309518271,0.00496647334737815,0,0,0
25,0,0.0577982748513906,0.0476461519196657,0.05487509925822,0.040183219754763,0.00554249899596307,0.000101738462955754,0.000140962930601346,0.00854678003412984
26,0,0.031614544564113,0.0493760898818743,0.0501978446784621,0.0383941673345498,0.0143447852709834,0.0120498054385083,0.0111806752256785,0.0017260948789496
28,0,0.0456176905629562,0.0153865241607878,0,0,0,0,0.0087040598374006,0.0113082640961199
29,0,0.00170487870363171,0,0,0,0,0,0.0853335809615687,0.0630877369615562
30,0,0.035352670634761,0,0,0,0,0,0.0457181878501831,0.0117458417492031
31,0,0.0221323741730486,0.0349543868855452,0.00790647007740634,0.00898042814894492,0.00185902298080393,0.00021906622917758,0.000325993628211157,0.00109334583879821
32,0,0.0107975296617187,0,0,0.000820379112560168,0.000820379112560168,0.00664582653148676,0.0820519077234701,0.0972791561233935
33,0,0,0,0,0,0,0,0.160533348190184,0.0975317768656341
34,0,0.000504373470694641,0,0,0,0,0,0.0867524056836931,0.0881515136033389
35,0,0,0,0,0,0,0,0.0130077494182705,0.0155866549409157
36,0,0.0594746972985628,0,0,0.0100848000326587,0.000133467200514192,0.00154932029682252,0.0600266829370803,0.0490725113353756
37,0,0.054373867595727,0.0216563370783813,0.00954372849322313,0.0324634367717255,0.0133358723908883,0.00253296371132099,0.102831011454713,0.104628251838566
38,0,0.0223894547513383,0.029880956388365,0.00978840671895215,0.0117733208557477,0.00396746685371077,0,0.0108653316901933,0.0228423654109002
39,0,0.00635532283724097,0.0487537466521534,0.0209999407028747,0.0104521684744064,0.00121906698801338,0,0,0
40,0,0.00955471640677803,0.0335749996170777,0.0161909145280427,0.0110379776655721,0.000226344721336536,0,0,0
41,0,0.0119001749336277,0.000385986907569519,9.28341282503355e-06,0.000639975271988876,2.78502392013522e-05,3.71336513001342e-05,0.0285645898959541,0.0257993660010561
42,0,0.0305221947701511,0,0.000112833814222875,0.00417965409354877,0.00118557568594334,0.00511243778252267,0.114826624995911,0.127075286627302
43,0,0.0406994366669614,0.102408519957764,0.0166161156946993,0.00919562512284124,0,0,0,0
44,0,0.0121106367303787,0.015031119285538,2.30341645526654e-05,0,0,0,0,0
45,0,0,0,0.0010849366379418,0.00126218273870107,0,0,0,0
46,0,0,0,0.00051238720783232,0.000341591462980522,0,0,0,0
47,0,0.00145683293402594,0.00267541863756752,0.00268616867693582,0.0030511745993861,0,0,0,0
48,0,0.0097849264777014,0.0017163305669045,0.010109198188937,0.00699686933223556,0.000939754610703563,0,0.00270698918747337,0.00497511467552586
49,0,0.0360228617340023,0.0175014613955906,0.0107359252315164,0.000585590241487527,0,0,0,0
50,0,0.00779932095349249,0.0195988397572277,0.0108724836803017,0.00300262025349952,0.000813140337990745,0,0.000813140337990745,0.00294129960468008
51,0,0,0.00536325568640151,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
53,0,7.37787106199359e-05,0.00714594157307707,0.000536231535535358,0.000254991219499838,0.000101996489395794,0,0,0
54,0,0,0.00940500082595921,0,0,0,0,0,0
55,0,0.00146683742160691,0.0562053164590603,0.140806963712359,0.020413940348548,0.0366749989450287,0.0848859321207437,0.0593925105682244,0.0968510969801175
56,0,0.108202380388425,0.0679854198418052,0.0633795043569176,0.158061255379705,0.0875917910962038,0.0098655903780899,0.0828264481536052,0.151391171423361
57,0,0.00693764833911219,0.0357845567658854,0.193689845382848,0.174050200369073,0.121664203228719,0.209703994527704,0.220706942920692,0.219892255254257
58,0,0.0350992450355647,0.00479818097721643,0.0584615378059408,0.122420283733317,0.06649436861806,0.0356625728495901,0.108562345147625,0.0738437079488235
59,0,0,0.019842273562054,0.103172599014681,0.0119017523832327,0.0158690027638271,0.0753898030323566,0.115074350156465,0.206345198029363
60,0,0,0.115425480881037,0.0937892415808253,0.0461701930748038,0,0.118323191743473,0,0.0923403861496076
61,0,0.0196515314639971,0.150406253483166,0.229062211835887,0.0869237795407617,0.105395384939304,0.118818683764748,0.128960126090874,0.0647562266673506
62,0,0.00915803342592874,0.0249993571622574,0.108300444604672,0.130649210451701,0.118587222253078,0.17851662826363,0.15289517885396,0.175674215058942
63,0,0.0808558543165207,0.0331186230630849,0.0362679648963833,0.110124639154513,0.0631199715236606,0.0152064593085519,0.0529200448830822,0.0771284959564496
64,0,0.0794527535400458,0.100800353428588,0.170352092189823,0.262565573767421,0.204895538865941,0.0496246608621967,0.137254897009823,0.209832314838665
65,0,0.0689129969972572,0.0123302314540891,0,0.0719825211861993,0.0545811040395125,0.00707284569289601,0.24122621558165,0.29460725075072
66,0,0.0807651393186243,0.0605549160715898,0.0643948057445768,0.128017435522753,0.0958004360113811,0.037594902119541,0.186121215733148,0.244508342607087
67,0,0.0815004276657417,0.140140796656985,0.151678615759439,0.152486053709557,0.254361122318549,0.157032393840212,0.351510229070208,0.32076106175682
68,0,0.0244566236109017,0.0731337822452848,0.149777193675796,0.149594065648201,0.237627542845506,0.214991375361614,0.33028693813362,0.201156129050801
69,0,0,0.000763718065112945,0,0,0.0313896795155595,0.0643854767109308,0.0536190709582002,0.11534380342789
70,0,0,0.0089321700261452,0,0,0.027888706616831,0.0557503511721742,0.0471359950318192,0.121514128669722
71,0,0.0288796814300698,0.248977738212051,0.312380487590817,0.183763406833859,0.157973363640321,0.222851579334621,0.194465689460245,0.163444251879042
72,0,0.0750901440598642,0.293518240657186,0.382424181576787,0.304557409353641,0.315715526867547,0.384457751765508,0.2653642738153,0.15602446949746
73,0,0.0122869050718344,0.17250147875333,0.231985216612035,0.174104539640624,0.193095808169134,0.255414647888904,0.190086803146055,0.168263782694713
74,0,0.0318881136795377,0.0198849874920046,0.134981658046497,0.131997957203211,0.207346512360276,0.204588679725746,0.279266906156765,0.27708559735205
75,0,0.0326028065833835,0.157020902459848,0.244800764537763,0.148504983155065,0.231032660488516,0.32766620659882,0.300927261303353,0.280187094110607
76,0,0.0208764694081964,0.0843111298874716,0.151669709998199,0.0953887741912792,0.124460962662491,0.146075525976175,0.170467040950364,0.164197072110167
77,0,0.0162836424321899,0.000385472006267404,0,0,0.000128490665405146,0,0.129282007607538,0.234560734570838
78,0,0.0915261605615257,0.0459504595835272,0.0283519749240792,0.0135906310986069,0.0391011442248142,0,0.0938697467763141,0.267372775188872
79,0,0.0654627176751552,0.075850000912812,0.0530511303281817,0.0483070426476353,0.0996018802676148,0.015816369817835,0.128564992848582,0.205020634536885
80,0,0.0663879642257523,0.127945297225203,0.193483134199351,0.140421292594102,0.23914707460826,0.247115553843684,0.395902399644164,0.368385207825451
81,0,0.0310930936310049,0.05960403237868,0.0587924862479309,0.0370973485867857,0.0313323817392952,0.0376145009010984,0.112072436444938,0.166443914482062
82,0,0,0.0744360322504235,0.222615954765815,0.0649942271067111,0.102949533933773,0.257268506480634,0.163055462118387,0.14792036078885
84,0,0.0129144468394668,0.0996024519376011,0.214422941500229,0.0919253933704375,0.0467663860287891,0.206322157861849,0.225575186252098,0.219785490771387
85,0,0.0544082782262162,0.08525003753216,0.0306860861134892,0.011802905843586,0,0,0,0.000164841392816172
86,0,0.0713079353588624,0.0247697011585328,0.0189071943460251,0.0110907353772231,0.00262540671368754,0,0.0631270540531915,0.0823069843256197
88,0,0.0826509893918421,0.0522142633352864,0.0783116550108153,0.134802273599824,0.0887210063753004,0.129343395548383,0.115928393367479,0.10453937990593
89,0,0.00576000119711167,0.0295396167284588,0.0650039860186477,0.0432304866214093,0.104340781681829,0.170336611538337,0.21298231304565,0.211497595794529
90,0,0.0988596060881669,0.195467959307471,0.231048054817519,0.226913776592816,0.222710855310737,0.329870786852272,0.26849122193564,0.227788270125845
91,0,0.0852360406396854,0.124150598839552,0.148133067217936,0.207228229992442,0.234858767928935,0.34905687185555,0.292134456766102,0.311136206999049
92,0,0.142953482264764,0.0837834435592975,0.0925771280825348,0.072065439249201,0.0498744471709704,0.0786164084179076,0.137231478022967,0.191093117626094
93,0,0.106676740240968,0.125302725336837,0.141205034359291,0.193383852557594,0.115732343019833,0.240330767646054,0.288139119824626,0.323358678755404
94,0,0.10675215548652,0.163336329709221,0.229742600234093,0.265335064232877,0.20449690615938,0.282680920501223,0.294256400232431,0.345571580086922
95,0,0.043877347219337,0.104659880590759,0.172778954636656,0.180343627732237,0.237161563205901,0.198900906010659,0.215859464789316,0.163955937640334
96,0,0.0313200806880552,0.0790331305768383,0.0843886514580896,0.0832425805391054,0.0149376265104539,0.00352390835752162,0.0318026848115541,0.0172080877482727
97,0,0.0196330437756835,0.128325909837557,0.046799353275152,0.0439076664997533,0.0041695111772518,0.00262911968868984,0.0125997225145666,0.00762462337107689
98,0,0.0591313180478992,0.137429205534549,0.170981429133716,0.193010662754769,0.0622002737703733,0,0.00720554917052688,0
99,0,0.0562041853593741,0.110467957142619,0.148409580222903,0.163905501204711,0.0643071252232528,0,0.00503877409933441,0.00143906348649377
100,0,0.00707502399336317,0.0791297516946191,0.0593510962374477,0.057818583257818,0.0126175345275359,0,0,0
101,0,0.0473117399949095,0.000415577240633318,0.000249346344379991,0.000166230896253327,0,0,0.0393621003105842,0.0427878474356863
102,0,0.0952145411950491,0.0105909477970595,0.0101699329047857,0.0219583148264713,0.0558240956583586,0.0349626877044536,0.113145222302374,0.0994745666002663
103,0,0.035443203124156,0.187567103318391,0.130804362315126,0.138880309601813,0.0522710670120504,0,0,0
104,0,0.0210660885502132,0.121949941268136,0.0500958471801392,0.0396339349467103,0.0126833979083749,0,0,0
105,0,0.0263045860896513,0.0287247841537096,0.0778549920447384,0.0476241973669028,0.110410623049444,0.126258150278487,0.0841065571672028,0.124432515683321
106,0,0.0119214067081595,0.0730713804685398,0.0328592731536219,0.03534090837166,0.00259195704295385,0,0.000136182287614811,0
107,0,0.0571303253943165,0.0642330493986147,0.0877349943297258,0.0324297331575473,0.0184085930196348,0,0.00204027293420458,0
108,0,0.0387260509354106,0.13492577966472,0.228070468918872,0.1704524261674,0.0992464331886598,0.108211567822565,0.103834167909874,0.176747331462076
110,0,0.0361702974919889,0.0566593996456609,0.0760271514612417,0.0867640713553477,0.0465435955633949,0.0285381916881816,0.0523057600866888,0.142338044020637
111,0,0.0268235368531747,0.015226543052285,0.00821120420681169,0.00689285191544588,0.00590540304861139,0.00298339068275761,0.0105004128077318,0.0433924433784042
112,0,0.042949308780793,0.0287894172160111,0.0556012233004903,0.0624967770435031,0.0134760909589858,0.00658871789911918,0.0298179208904382,0.0684238314893755
113,0,0.035401870679546,0.00754372011840624,0.0349182473621187,0.0707258324637571,0.0351933615079157,0.020501723134269,0.178450657095881,0.206589312942969
114,0,0.0307444486429194,0.0161876121073993,0.0386386620437743,0.109396254394101,0.0531407353856191,0.0218666809514001,0.111400265285003,0.170150476883746
115,0,0.0339871619952602,0.00841705958239164,0.0211636200643961,0.109034175947399,0.0816786548983268,0.0518419601394092,0.156571628069923,0.24600411862736
116,0,0.0356055151043317,0.0112132268090377,0.00782320649557909,0.0540718427812056,0.0176372698121177,0.00130565036665879,0.0392573327039193,0.084690549795618
117,0,0.00367302062658218,0,0,0.0126465490017809,0.00151070284622657,0.00232793442919987,0.0276884677730486,0.0277817405312212
118,0,0.00180397974454075,0.000168793421996362,0,0.00311953588940893,0.00521284366016424,0.00115933247953618,0.00812206122758196,0.00348473130943723
119,0,0.00370582577331612,0.00185291288665806,0,0.00185291288665806,0,0,0,0.00302926876535874
120,0,0.0407947982013372,0.0189292800320081,0.00812421736329469,0.0278837126068069,0.00880756273117276,0,0.000512509039273263,0.00616525540305481
121,0,0.038429407566263,0.0191628311812731,0,0.0194740668005396,0.000174728764154648,0,0.000131046576533292,0.000218410951776005
122,0,0.135622274209607,0.085763988911433,0.0957821251819769,0.214183630194247,0.0840540018530591,0,0.0360588360534737,0.0431983355410681
123,0,0.0667880222959139,0.0313666202749891,0.0563752017873332,0.190190186353214,0.0966891300834864,0.0331217621592481,0.0869648989748934,0.083445205262654
124,0,0.103354640748832,0.103998067709159,0.0607133601033224,0.195920092400677,0.0970983380982205,0.00422843219683572,0.0533192813410966,0.0825838307832978
125,0,0.0608980485832284,0.0745340945407444,0.04546168843973,0.0736240193702035,0.00132504350514956,0,0.00676248251161059,0.0135249650232212
126,0,0.0806942241971294,0.118823314143004,0.0453649747585347,0.0948792060150311,0.0503052229107799,0.00148455181100192,0.030032862435026,0.0508342009290722
127,0,0.0562694213912329,0.0322181969811682,0.00915720170060398,0.0911097581498526,0.0208691177372201,0,0.0044094674376751,0.00821039752305683
129,0,0.0210735609873133,0.0624537519908211,0.0886890763827362,0.118667704656868,0.0633917116391525,0.0656788808408722,0.150666723184645,0.137201381939079
130,0,0.0189529693532743,0.0137020975059991,0.0159176354477806,0.0313815544936857,0.0105579299031974,0.0116196952887492,0.0603640266275298,0.0541686730538229
131,0,0.0588274574632049,0.0779648848098613,0.0989950531047141,0.19228382542128,0.126207389470607,0.0834629107303566,0.34177143429849,0.338354079095527
132,0,0.0203305539975573,0.0481077276065952,0.0545751891322349,0.094980268017475,0.0539566666783625,0.0473452708503765,0.151777861299668,0.192285144430503
133,0,0.0388227511392743,0.0506696753041024,0.0854510944492806,0.149473475500923,0.0841508118988187,0.0552869139104194,0.244138517457022,0.246021835319003
134,0,0.0275836799256906,0.00486163874260006,0.0177231962608382,0.0724972768167058,0.0148593277485402,0.00790093640201548,0.072767710952076,0.0726327136351218
135,0,0.0333447852124183,0.0352029886438228,0.0751816880554236,0.0536471756407826,0.0254165802508502,0.0146486201970865,0.0406357635454575,0.0791075007463906
136,0,0.0591370307174284,0.0275783520517597,0.0809141967378384,0.178400898154129,0.0132120814701651,0.000878344079058215,0.0279355967855499,0.0210236475301248
137,0,0.0175366798618787,0.0576482102100147,0.0957981153681645,0.0786627215045128,0.0355077196188806,0.0398797041845738,0.0595201056103615,0.0249163220885603
138,0,0.0725478953428608,0.0399158414698905,0.112450328748664,0.108013564226483,0.108923326711853,0.0672039495938741,0.259545702913376,0.145481253034216
139,0,0.0334893372581686,0.0340071704410706,0.0222034733036507,0.0912428477611241,0.0195836404856395,0,0.0247479429957785,0.0405376688212454
140,0,0.0526915825610668,0.0217441708859715,0.0398021214084301,0.130174160094717,0.0590067219970495,0.00661246379424129,0.0452221339997032,0.0583859443773873
141,0,0.0100212412711368,0.0586600644054888,0.18387141288086,0.132415360698197,0.0638590798937753,0.0275682987884505,0.0910017653639583,0.0511746483888694
143,0,0.0173270669016014,0.0497614174420846,0.201315164115499,0.124484622192701,0.0970294184232989,0.031694819081591,0.0998915221944539,0.0389855963761823
144,0,0.00554243030560674,0.0130229655562808,0.109148043467181,0.0390297705046282,0.0448078148700568,0.0542627254414828,0.110431070042208,0.104185152614311
145,0,0.0166769650862122,0.0649119938577696,0.140957403583922,0.0926554908417476,0.103930037285742,0.0716189464797246,0.0769109099697003,0.0523483674416519
146,0,0.0640875601757743,0.0076102859913464,0.00473655275918888,0.0255125929775256,0.0100851124748274,0.0190503835960478,0.0584857767119302,0.0936436353599442
147,0,0.0305173554002432,0.0153477208296712,0.0198035054261995,0.0342944035084038,0.0198919456341877,0.0284955553785332,0.0833815525610923,0.0799586901854687
148,0,0.023382647902108,0.0049382305316657,0.0131885122700894,0.0175241281818539,0.00410613685968699,0.00504062720665927,0.0164888107704556,0.0160111063647875
149,0,0,0,0,0,0,0,0,0
150,0,0.00896891537615222,0.0193426706664405,0.0787072060271025,0.112838424113454,0.0287941809104688,0.0765189738327361,0.16003203717821,0.115085195687385
151,0,0.0728413230477703,0.0129157387510567,0.0285706932556263,0.0246480860402398,0.00416500035565138,0.00403674982707086,0.175876587307057,0.154986156060236
152,0,0.080548328771666,0.0278524197810075,0.0659850344657173,0.0334792184506794,0.0119098748349119,0.0178143167610381,0.117296816246597,0.0833574809365707
153,0,0.0379344765052353,0.00463404739709672,0.00532816267570869,0.0181618813189634,0.0171267001587266,0.0358466920833764,0.145825546754769,0.16199077938986
154,0,0.0289279413229396,0,0,0,0,0.0353671239384272,0.262194729182207,0.253276439457612
155,0,0.0341740115361412,0,0,0.000373148067056871,0.000441052608921788,0.0140665767691094,0.215942982866062,0.20705819730349
156,0,0.00603685468882779,0.0143238797231749,0.0158091270072286,0,0,0,0,0
157,0,0,0.000527542556687241,0.00248801490348886,0.00237364961507597,0.00118682483848686,0,0,0
158,0,0,0.000587962181175007,0.00304256896686749,0.00126500666562206,0.000378029956738348,0.00106442903031844,0.00268054158605785,0.00228840845280246
159,0,0.00337284699843669,0.00198922628381493,0.00331371117303185,0.00337284699843669,0,0,0.0158052543181468,0.0872780158211404
161,0,0.0358346887192701,0.0352965686591596,0.0585370193493086,0.0390436480465599,0.00589408460317843,0.0057424903997581,0.0757308373868235,0.0413306602113966
162,0,0.079776531193879,0.0486385915993434,0.0841469749215762,0.106627155213951,0.0892606292080869,0.106258816721837,0.17799262369091,0.183368290978479
163,0,0.0216122322380542,0.089924193662883,0.116657057550954,0.121389528091237,0.142853246095579,0.166501462926268,0.211083650670831,0.323204552482745
164,0,0.0677826147047603,0.100088988145684,0.142931012998354,0.0696090567679065,0.0419839146913847,0.0173030072142061,0.207322734384763,0.203767379188975
166,0,0.0298163990860252,0.020071119843869,0.0572345730994216,0.139286486834662,0.056435276972916,0.044658919835967,0.152664136588189,0.181290119409335
167,0,0.0209896464007004,0.0811373365805961,0.0788430230436631,0.117022644317124,0.0151171367371368,0.000334269852554648,0.00628527907462612,0.0120378297800424
168,0,0.0342150327154711,0.105086585462485,0.0928588799322883,0.124241780940467,0.0124824586748911,0,0,0.000286699577593515
169,0,0.0289754992742633,0.148194896986351,0.12483996141441,0.140669778545354,0.032024348536511,1.68707416023446e-05,3.37414832046892e-05,0
171,0,0.0161496759467039,0.0195797872369878,0.0180938073418668,0.0260638333540099,0.00333885861534192,0.00705818625099903,0.0333443269426555,0.0441361791799971
172,0,0.0414200369235618,0.0914307675484679,0.133112313625915,0.104332965645854,0.117366208077875,0.15818415268425,0.175401302875881,0.13132838376705
173,0,0.03044274639379,0.00756410993884791,0.0265056507774958,0.0789166126796354,0.0346267461452932,0.0597700701446589,0.0766303291695515,0.0424709607530282
