zone,human_count_2000_mol,human_count_2001_mol,human_count_2002_mol,human_count_2003_mol,human_count_2004_mol,human_count_2005_mol,human_count_2006_mol,human_count_2007_mol,human_count_2008_mol,human_count_2009_mol,human_count_2010_mol,human_count_2011_mol,human_count_2012_mol,human_count_2013_mol,human_count_2014_mol,human_count_2015_mol,human_count_2016_mol,human_count_2017_mol,human_count_2018_mol,human_count_2019_mol,human_count_2020_mol
1,7091.069301605225,7176.769458770752,7262.469524383545,7348.169807434082,7433.869873046875,7519.570743560791,7658.654750823975,7797.738220214844,7936.822177886963,8075.906318664551,8214.990325927734,8347.791431427002,8480.593208312988,8613.39436340332,8746.195468902588,8878.996574401855,8998.489200592041,9117.982364654541,9237.474143981934,9356.96677017212,9476.4592628479
2,5055.138541862369,5117.828741662204,5180.518942635506,5243.209325805306,5305.89951377362,5368.589912138879,5469.634200170636,5570.67892832309,5671.723554760218,5772.767800599337,5873.812330618501,5970.65651897341,6067.500096805394,6164.344200111926,6261.1877797320485,6358.031968288124,6445.617439687252,6533.202717989683,6620.78834669292,6708.373607710004,6795.95918084681
3,7220.313365936279,7217.661796569824,7215.010227203369,7212.358493804932,7209.707004547119,7207.055152893066,7247.89875793457,7288.742332458496,7329.585750579834,7370.42932510376,7411.272819519043,7437.014026641846,7462.755340576172,7488.496482849121,7514.237861633301,7539.978912353516,7546.94966506958,7553.920463562012,7560.891387939453,7567.8621101379395,7574.832954406738
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,613783.5911490917,624037.5399184227,634291.4920601845,644545.4369568825,654799.3652068377,665053.32310009,673607.4118523598,682161.5052813292,690715.5611556768,699269.6548411846,707823.7361615896,714586.8451761007,721349.921862483,728113.0054079294,734876.1020233631,741639.21144104,746835.6167356968,752032.0369763374,757228.4504312277,762424.8617808819,767621.2929497957
6,450697.03466923535,462050.4497310221,473403.8649816662,484757.28304354846,496110.6991197169,507464.1164467633,519948.5822787732,532433.0561828613,544917.5253363699,557401.994748205,569886.4633003473,582917.0992417336,595947.7406638265,608978.372379899,622009.0114744902,635039.6451645792,648443.451996386,661847.2647597194,675251.0602891743,688654.871427685,702058.6793051958
7,1055785.8931335509,1082501.202785343,1109216.5049914122,1135931.810635984,1162647.120165944,1189362.427058816,1215316.842579335,1241271.257247746,1267225.670835048,1293180.0894821882,1319134.5034496486,1344620.888279289,1370107.2820649147,1395593.6741864085,1421080.0715790987,1446566.4650455713,1470818.9492526054,1495071.4421582818,1519323.9259840846,1543576.4092969,1567828.900456041
8,116416.95824694633,117305.92959547043,118194.89705872536,119083.86583137512,119972.83312416077,120861.80378627777,121547.58485102654,122233.36599469185,122919.14020586014,123604.92102837563,124290.70120716095,125330.41291046143,126370.12535786629,127409.83913302422,128449.55162477493,129489.26188540459,131029.760699749,132570.26206207275,134110.7605214119,135651.26098024845,137191.75751066208
9,1501959.2675884366,1489197.4094315171,1476435.5609354377,1463673.6985538006,1450911.8393180966,1438149.9890981317,1426292.6897671223,1414435.3821805716,1402578.100657314,1390720.7931049764,1378863.4999134243,1380156.992202431,1381450.479219079,1382743.9705494642,1384037.459240079,1385330.9476945698,1397459.3261121213,1409587.7077587396,1421716.0795073956,1433844.4568685442,1445972.8408587873
10,75726.12818908691,76357.77410888672,76989.42123413086,77621.06317138672,78252.71424865723,78884.35691833496,79248.64881896973,79612.93803405762,79977.22624206543,80341.52114868164,80705.8071899414,81514.93405151367,82324.056396484375,83133.18350219727,83942.30758666992,84751.43197631836,85529.15447998047,86306.87594604492,87084.59881591797,87862.319580078125,88640.04693603516
