"ID","CountryYieldCumSum","CountryAreaCumSum","MaxPhi","averagePhi","averageWeightedPhi","MaxDevPerCountry","MaxProdPerCountry","OnePercentDevPerCountry","ProdPerCountryOnePercent","rgn_name"
5,165334329,0.8001238,2.07655,2.03503262244898,2.0350390495947,156.5549667,30197328157,1.565549667,165334329,"New Caledonia"
15,278022598.762522,0.837151646614075,2.3613770374,2.12754466658547,2.12817028389975,2751.21985095618,628607712469.203,27.5121985095618,8289963141.48717,"Philippines"
16,249847363.743306,0.82373970746994,2.30693102833334,1.83155143011817,1.83191267046761,90582.2311357223,12711354831664.2,905.822311357223,214659251117.223,"Australia"
17,224700125.105708,0.846515536308289,2.22687976682914,2.01868272525709,2.01864485614588,18724.867059561,3539142553384.7,187.24867059561,47577710810.697,"Papua New Guinea"
18,211129053.248788,0.821173131465912,2.20772942125151,2.15070581148621,2.15074530240409,580.709385219761,135929941276.502,5.80709385219761,1477823714.69561,"Fiji"
20,125038645,0.7045859,1.985193,1.47680280773092,1.47371519681712,1371.4291796,114563583168,13.714291796,2197715087,"South Korea"
21,156813067,0.6653402,2.155518,1.6274900764896,1.62786559473159,8040.5155903,871928713965,80.405155903,18078904955,"North Korea"
24,240874158.428189,0.840418457984924,2.27294286724287,2.13509494326395,2.13509652945965,2136.06117558225,488665768146.095,21.3606117558225,5844019273.16466,"Cambodia"
25,259529868.629298,0.846026718616486,2.31372933045834,2.04976193545976,2.05016743957028,11061.0640288356,2212817560844.98,110.610640288356,30552541990.6517,"Thailand"
31,198774464,0.8431506,2.155679,2.11505092485549,2.11505069933468,145.8658068,32162566443,1.458658068,198774464,"Seychelles"
40,241052388.527664,0.847945272922516,2.26803469709631,2.04994397862883,2.05004391826126,4888.69773760618,977939087066.221,48.8869773760618,13311233864.631,"Sri Lanka"
41,206794172.042931,0.816771328449249,2.19850269097857,2.03260381010648,2.03337084632567,13073.0687408364,2543066843645.88,130.730687408364,32543161025.8774,"Mozambique"
42,223025064.367982,0.829717338085175,2.23441980133586,1.98746987804653,1.98813661413309,12002.8745675942,2182170512995.48,120.028745675942,30963015413.214,"Madagascar"
43,218725857.438407,0.853818833827972,2.20554713428512,2.14481514675069,2.14481327287722,870.971401873236,201827946669.448,8.70971401873236,2187246450.68903,"Kenya"
44,168755443,0.8403504,2.059399,1.97482788172043,1.97488412928939,234.0949177,41303240594,2.340949177,337510886,"Somalia"
45,109100558,0.8263649,1.807644,1.65731139679548,1.65730724056938,875.0111325,90136916429,8.750111325,1068723829,"Eritrea"
47,198242017,0.8224351,2.169002,1.8262533371134,1.82622444148103,797.2170773,111332711357,7.972170773,1671345030,"Yemen"
48,164316073,0.7912007,2.079573,1.96210427927419,1.9619044359484,20002.3687485,3422552945714,200.023687485,40114973147,"Oman"
50,160833407,0.7744389,2.079567,1.3239176892936,1.32493597940821,1379.9333852,90763742765,13.799333852,2742122691,"Saudi Arabia"
51,76976790,0.7512509,1.655493,1.12496731594203,1.12505231497259,515.4748823,22134904991,5.154748823,461866805,"Kuwait"
52,147129381,0.7715259,2.028371,1.32422009142857,1.32415041186091,134.9076749,9519207931,1.349076749,147129381,"Bahrain"
53,177587767,0.7749632,2.138646,1.95202324684579,1.95199130601524,11852.4292814,1994964172625,118.524292814,23867804740,"Pakistan"
54,113568057,0.7806224,1.865917,1.27199506333333,1.27202136306773,234.0998149,13690091811,2.340998149,227136114,"United Arab Emirates"
61,137660459,0.7132572,2.035578,1.31973787027554,1.32037481870599,5793.5537815,359394069569,57.935537815,9880979191,"Tunisia"
62,143093519,0.729242,2.045509,1.87662710286878,1.87680889395743,13172.2288108,1954490169119,131.722288108,22794558154,"Morocco"
63,137761344,0.7680199,1.991613,1.88138178177874,1.8813733174718,10707.8725178,1600774423625,107.078725178,18828694126,"Western Sahara"
64,154529264,0.8153321,2.024677,1.91957926472384,1.9196921691353,14534.1654625,2314494809755,145.341654625,26130916821,"Mauritania"
65,154105441,0.8327506,2.010339,1.95637079675994,1.95637509600725,2259.2488868,382491568076,22.592488868,4126253761,"Gambia"
66,167129160,0.8342894,2.057931,1.95934556115729,1.95933254519323,7699.7494792,1309683815416,76.997494792,14038482403,"Senegal"
67,112636015,0.7166597,1.912288,1.58843434883721,1.58846571898593,153.9471366,14399640612,1.539471366,225272030,"Libya"
73,159191117.568636,0.593929171562195,2.23270678218087,1.57800600134534,1.58178151055253,2959.53938104923,302037437971.96,29.5953938104923,7187923998.9599,"Russia"
74,102555709,0.6361918,1.927503,1.47919001709402,1.47856511778356,74.0645348,6202711135,0.740645348,102555709,"Georgia"
75,115169976,0.5939292,2.0384,1.24147465392736,1.24155873705806,2817.9537197,157898644020,28.179537197,4260688711,"Ukraine"
76,118506291,0.6855087,1.969461,1.41308543447038,1.4172068827267,361.1847292,27572168879,3.611847292,592569931,"Turkey"
80,113769325,0.66495,1.963252,1.77852787242798,1.77964700284708,160.6625786,20715692413,1.606625786,227538650,"Greece"
96,219461664.256692,0.844932377338409,2.21384343087231,2.12312783128648,2.12311416052079,9132.73304940215,2040661393877.72,91.3273304940215,23207817039.5537,"Sierra Leone"
97,200700168,0.851005,2.155901,2.12203730139721,2.12203791412362,852.2212736,189993814317,8.522212736,2003124630,"Liberia"
100,152888958,0.8526325,1.991419,1.88922166143317,1.8892220525163,2116.7387068,320333458670,21.167387068,3495399037,"Republique du Congo"
101,141706947,0.8149214,1.972982,1.77587681556989,1.77534667171377,79405.2851566,9953577516467,794.052851566,114650921188,"Namibia"
