"rgn_id","rgn_name"
1,"Cocos Islands"
2,"Christmas Island"
3,"Norfolk Island"
4,"Macquarie Island"
26,"Andaman and Nicobar"
30,"Glorioso Islands"
33,"Juan de Nova Island"
34,"Bassas da India"
35,"Ile Europa"
36,"Ile Tromelin"
38,"British Indian Ocean Territory"
57,"Madeira"
63,"Western Sahara"
85,"Ascension"
86,"Saint Helena"
88,"Tristan da Cunha"
90,"Prince Edward Islands"
92,"Amsterdam Island and Saint Paul Island"
94,"Heard and McDonald Islands"
105,"Bouvet Island"
107,"Clipperton Island"
141,"Faeroe Islands"
144,"Jan Mayen"
146,"Pitcairn"
149,"Jarvis Island"
150,"Palmyra Atoll"
158,"Howland Island and Baker Island"
159,"Johnston Atoll"
161,"Wallis and Futuna"
227,"Jersey"
228,"Guernsey"
237,"Oecussi Ambeno"
