"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Argentina",172,"Other seaweeds and aquatic plants and products thereof","seaweeds",404.457595385909,411.837118718577,394.22939617189,367.108952493862,375.105214131709,362.076306274954,354.074750057353,341.008464121496,321.251502026465,303.606401400673,300.052836596155,275.885261167146,283.003137946107,241.51082285355,232.967284488979,229.787500475468,187.547623800881,185.563938318624,151.173458255351,107.644037851762,60.4515656962249,61.1777909488264,72.0708537170394,49.7161151244545,3.06562511589073,0,128.164761288899,121.097657048838,110.535702412784,91.2646553460727,12,0,0,0,0,0,0,0,0,0,0
"Argentina",172,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,130,95,276,541,253,162,97,77,48,10,19,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Argentina",172,"Z_TOTAL","fish_oil",43,146,38,168,306,370,422,461,428,194,4,14,37,86,64,32,22,279,435,2,9,37,44,33,0,8,0,1,19,0,0.1,0.1,0,40,278,963,2148,2292,2341,1500,1750
"Argentina",172,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,3,0,0,0,2,0,2,0,0.1,0.1,0.1,0.1,0
"Argentina",172,"Z_TOTAL","seaweeds",7194.45759538591,10271.8371187186,8750.22939617189,8299.10895249386,9850.10521413171,6327.07630627495,5159.07475005735,5071.0084641215,7421.25150202647,6844.60640140067,6100.05283659615,4846.88526116715,1606.00313794611,289.51082285355,242.967284488979,248.787500475468,207.547623800881,207.563938318624,151.173458255351,107.644037851762,60.4515656962249,61.1777909488264,72.0708537170394,49.7161151244545,3.06562511589073,0,128.164761288899,121.097657048838,110.535702412784,91.2646553460727,12,0,0,0,0,0,0,0,0,0,0
"Argentina",172,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,0.1,1,4
"Aruba",250,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0.1,0,0,1,0,2,0,0,0,1,0,0.1,0.1,2
"Aruba",250,"Ornamental saltwater fish","ornamentals",13,15,57,35,87,135,147,175,158,145,225,194,210,147,135,148,150,120,93,99,100,100,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NA
"Aruba",250,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1214,940,292,790,1160,881,2053,1132,1518,4088,7057,7879,8377,16402,21911,27633,31954,30092,36837,39825,10872,6166,4248,3462,4865
"Aruba",250,"Z_TOTAL","ornamentals",13,15,57,35,87,135,147,175,158,145,225,194,210,147,135,148,150,120,93,99,100,100,0,0.1,0,0,0,0.1,10,0,1,0,2,0,0,0,1,0,0.1,0.1,2
