"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Albania",82,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,137,156,316,57,21,33,54,126,29,29,0,136,120,0,160,89,66,24,180,359
"Albania",82,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,137,156,316,57,21,33,54,126,29,29,0,136,120,0,160,89,66,24,180,359
"Algeria",84,"Fish body oils, nei","fish_oil",74,87,169,150,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",84,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,589,441,1013,618
"Algeria",84,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669.651077729464,0,1159.42185987133,1393.32055407334,1454.86057115428,1400.14419299806,1396.23154788113,1201.72698403089,1363.93942915903,1340.39098538275,1233.62415681202,1323.68283385061,1314.3158002172,1325.20792393074,1292.93245852808,1166.06231228229
"Algeria",84,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,15,24,0,3,0,10,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
"Algeria",84,"Z_TOTAL","fish_oil",74,87,169,150,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,589,441,1013,618
"Algeria",84,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669.651077729464,0,1159.42185987133,1393.32055407334,1454.86057115428,1400.14419299806,1396.23154788113,1201.72698403089,1363.93942915903,1340.39098538275,1233.62415681202,1323.68283385061,1314.3158002172,1325.20792393074,1292.93245852808,1166.06231228229
"Algeria",84,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,15,24,0,3,0,10,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
"Angola",200,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,24,3,11,0,42.6891738535787,44.0893560082341,42.6540437678314,39.6237659302083,43.1505688811576,39.0569806453877,39.3938524018959,19.8090909090909,19.3181818181818,19.2909090909091,19.5636363636364,19.7818181818182,19.8090909090909,19.9181818181818,23,7,25,25
"Angola",200,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59356745216246,1,1,4,0
"Angola",200,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,24,3,11,0,42.6891738535787,44.0893560082341,42.6540437678314,39.6237659302083,43.1505688811576,39.0569806453877,39.3938524018959,19.8090909090909,19.3181818181818,19.2909090909091,19.5636363636364,19.7818181818182,19.8090909090909,22.5117492703443,24,8,29,25
"Antigua and Barbuda",120,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,141,133,103,24,41,30,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",120,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15535.4806173488,3,0,0,10,18362.4902686155,0,3,4,8,6,0,0,25691.0052880095,7,0,0,0,0,0,0,0,0
"Antigua and Barbuda",120,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,141,133,103,24,41,30,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",120,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15535.4806173488,3,0,0,10,18362.4902686155,0,3,4,8,6,0,0,25691.0052880095,7,0,0,0,0,0,0,0,0
"Argentina",172,"Agar agar nei","seaweeds",0,7.58990105034354,0,0.156670789467171,32,44,0,7,5,7,16,4,15,46,40,5,28,6,31,0,66,106,228,0,1,0,0,0,0,0,18,0,5,0,4,0,0,0,0,0,0
