"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Argentina",172,"Fish liver oils, nei","fish_oil",69,253,56,212,602,600,607,571,622,274,24,19,18,35,47,32,18,723,906,1,2,29,8,3,0,1,0,0.1,2,0,0.1,0.1,0,68,287,724,1549,1628,1326,1028,1234
"Argentina",172,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57,1,2,80
"Argentina",172,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8113437789034,34.7294418460042,0,44.53836482107,0,0,0,64.2201616271086,0,74.056357761312,0,83.9104225170177,88.8285205841203,0,6,0
"Argentina",172,"Other seaweeds and aquatic plants and products thereof","seaweeds",3676,2730,3121,4021,3042,3188,3065,3213,3719,4112,3751,4493,3561,5230,5136,4755,6464,6019,7308,9086,11060,10470,9336,9981,11926,12287,4130,3957,3971,4451,4878,4462,6370,5892,7378,4989,5960,8316,6382,10482,7682
"Argentina",172,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,1493.41919528841,1008.17425980665,3905.76522665686,8118.9034888584,3671.35538999707,2309.07892428109,1353.99566903099,1103.6698934334,712.39262190531,180.163854446713,384.015121291828,462.576169532069,556.798495097915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Argentina",172,"Z_TOTAL","fish_oil",69,253,56,212,602,600,607,571,622,274,24,19,18,35,47,32,18,723,906,1,2,29,8,3,0,1,0,0.1,2,0,0.1,0.1,0,68,287,724,1549,1628,1326,1028,1234
"Argentina",172,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8113437789034,34.7294418460042,0,44.53836482107,0,0,0,64.2201616271086,0,74.056357761312,0,83.9104225170177,88.8285205841203,0,6,0
"Argentina",172,"Z_TOTAL","seaweeds",3676,2737.58990105034,3121,4021.15667078947,3074,4725.41919528841,4073.17425980665,7125.76522665686,11842.9034888584,7790.35538999707,6076.07892428109,5850.99566903099,4679.6698934334,5988.39262190531,5356.16385444671,5144.01512129183,6954.57616953207,6581.79849509792,7339,9086,11126,10576,9564,9981,11927,12287,4130,3957,3971,4451,4896,4462,6375,5892,7382,4989,5960,8316,6382,10482,7682
"Argentina",172,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57,1,2,80
"Aruba",250,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0.1,0,0,1,0,12,0,0,0,1,0,1,22,10
"Aruba",250,"Ornamental saltwater fish","ornamentals",0,0,0,0,0,0,0,0,0,0,0,0,16.7584618465917,112.487125233136,205.207455489988,296.453112643969,388.347625963215,482.129720854049,575.734854972572,667.393420595385,759.346920838725,851.359408006188,0,0,0,0,0,0,1500.7556413486,0,0,0,0,0,0,0,0,0,0,0,NA
"Aruba",250,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7499,7948,1807,3590,4772,4060,6677,4286,4884,10718,20021,22797,29287,59089,77659,107601,136657,130410,155894,177524,52992,31305,23520,19246,23846
"Aruba",250,"Z_TOTAL","ornamentals",0,0,0,0,0,0,0,0,0,0,0,0,16.7584618465917,112.487125233136,205.207455489988,296.453112643969,388.347625963215,482.129720854049,575.734854972572,667.393420595385,759.346920838725,851.359408006188,0,0.1,0,0,0,0.1,1500.7556413486,0,1,0,12,0,0,0,1,0,1,22,10
"Aruba",250,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7499,7948,1807,3590,4772,4060,6677,4286,4884,10718,20021,22797,29287,59089,77659,107601,136657,130410,155894,177524,52992,31305,23520,19246,23846
"Australia",16,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808.404059567642,0,792.891824869226,0,0,0,0,0,1,738.599003424772,0,3,0,0,0,0,0,0
"Australia",16,"Mother of pearl shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,6,21,23,7,0,2,6,114,496,439,451,430,238,230,3,13,51,32
"Australia",16,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22243.2161530123,29687.2445515106,30206.9622442499,29854.6005030145,26365.2444549959,24510.4144317984,30429.5496486039,32955.050039485,26513.0821935806,23016.2511789851,29047.5108944444,29198.4635693887,31666.65588318,31493.6933397909,32616.3916697355,32792.2608999362,32619.2983565471,31661.4643225807,28112.3085419467,30742.4584649047,34169.9381560682,33149.8127339608
"Australia",16,"Shells nei","shells",0,0,0,37.0396667877212,114.756018976972,192.756763859099,270.757508741197,348.331664584024,424.626053309097,504.048761655373,581.054132112535,661.898803923046,736.771229183883,817.189311955124,893.341504333745,972.906409026473,1050.62276121572,0,0,0,1362.62574074414,0,0,1596.32936306295,0,0,1827.78628310829,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",16,"Trochus shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,300,80,0,0,0,0,0,0,0,0
"Australia",16,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808.404059567642,0,792.891824869226,0,0,0,0,0,1,738.599003424772,0,3,0,0,0,0,0,0
"Australia",16,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22243.2161530123,29687.2445515106,30206.9622442499,29854.6005030145,26365.2444549959,24510.4144317984,30429.5496486039,32955.050039485,26513.0821935806,23016.2511789851,29047.5108944444,29198.4635693887,31666.65588318,31493.6933397909,32616.3916697355,32792.2608999362,32619.2983565471,31661.4643225807,28112.3085419467,30742.4584649047,34169.9381560682,33149.8127339608
"Australia",16,"Z_TOTAL","shells",0,0,0,37.0396667877212,114.756018976972,192.756763859099,270.757508741197,348.331664584024,424.626053309097,504.048761655373,581.054132112535,661.898803923046,736.771229183883,817.189311955124,893.341504333745,972.906409026473,1050.62276121572,0,4,0,1362.62574074414,0,0,1602.32936306295,21,23,1834.78628310829,0.1,2,6,316,796,519,451,430,238,230,3,13,51,32
"Azerbaijan",255,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,420,613,451,0,0,0,0,0
"Azerbaijan",255,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,420,613,451,0,0,0,0,0
"Bahamas",110,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.769948156725,168.826774650588,0,210.896728252912,235.6614226491,267.979975465598,240.811893222133,314.676667350359,347.939452469407,0,0,425.916041637873,451.624968336597,0,0,527.901939360505,545.112775336376,553.825520589395,579.534447288119,630.737646155416,1,0,0
"Bahamas",110,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04209381727333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,52
"Bahamas",110,"Natural sponges nei","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,43.4790531113103,172.689266505768,0,223.37783010464,254.31967707986,272.822490331127,327.398501381853,347.145218005513,0,409.028911955946,451.165889282725,0,0,0,0,0,0,0,0.1,0
"Bahamas",110,"Natural sponges other than raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,4,0.1,345.141704503133,328.433439933935,331.023868549314,307.710011010898,56,36,29,615,586,499
"Bahamas",110,"Shells nei","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.464630892886,199.132996829518,223.344472653058,246.412977740911
"Bahamas",110,"Trochus shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0
"Bahamas",110,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.769948156725,168.826774650588,0,210.896728252912,235.6614226491,267.979975465598,240.811893222133,314.676667350359,347.939452469407,0,0,425.916041637873,451.624968336597,0,0,527.901939360505,545.112775336376,553.825520589395,579.534447288119,630.737646155416,1,0,0
"Bahamas",110,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04209381727333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,179.464630892886,200.132996829518,223.344472653058,298.412977740911
"Bahamas",110,"Z_TOTAL","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,43.4790531113103,172.689266505768,0,223.37783010464,254.31967707986,272.822490331127,327.398501381853,348.145218005513,4,409.128911955946,796.307593785859,328.433439933935,331.023868549314,307.710011010898,56,36,29,615,586.1,499
"Bahrain",52,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2273.00873566116,2112.35033350158,1961.71640170662,1777.4002494865,0,73,206,384,186,345,318,381,391,184,238
"Bahrain",52,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4251471095658,15.694273698422,18.3302615484818,13,0,5,35,11,5,0,13,43,0,11,197,110,120,70,82,92
"Bahrain",52,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0
"Bahrain",52,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2273.00873566116,2112.35033350158,1961.71640170662,1777.4002494865,0,73,206,384,186,345,318,381,391,184,238
"Bahrain",52,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,12.4251471095658,15.694273698422,18.3302615484818,13.1,0,5,35,11,5,0,13,43,0,11.1,197.1,110.1,120.1,70,82,92
"Bangladesh",204,"Agar agar nei","seaweeds",0,323,286,183,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh",204,"Fish body oils, nei","fish_oil",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795731822468952,4.74936404556229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4,0,307,1550
"Bangladesh",204,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh",204,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,174,35,1,0,0,11,145,243,0,69,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh",204,"Ornamental saltwater fish","ornamentals",15659.4381972306,4109.45609572154,3903.03022206304,30238.4970898453,0,0,0,0,15690.7681128829,23116.3298328177,4286.42211427676,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,4,1,0.1,0,0,0,0,0,0,0,0,5,1,2208,0
"Bangladesh",204,"Other seaweeds and aquatic plants and products thereof","seaweeds",0,0,0,0,0,0,0,0,0,0.491173765227359,5.61155268335096,10.7319316014764,15.8523105196,86,73,71,111,90,47,49,45,84,33,72.1764786189669,65,34,32,146,190,104,185,275,276,510,325,295,373,192,370,372,214
"Bangladesh",204,"Z_TOTAL","fish_oil",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795731822468952,4.74936404556229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4,0,307,1550
"Bangladesh",204,"Z_TOTAL","ornamentals",15659.4381972306,4109.45609572154,3903.03022206304,30238.4970898453,0,0,0,0,15690.7681128829,23116.3298328177,4286.42211427676,0,0,0,57,174,35,1,0,0,11,145,243,0.1,69.1,31,61,1,0.1,0,0,0,0,0,0,0,0,5,1,2208,0
"Bangladesh",204,"Z_TOTAL","seaweeds",0,323,286,183,183,0,0,0,0,0.491173765227359,5.61155268335096,10.7319316014764,15.8523105196,86,73,71,111,90,47,49,45,84,33,72.1764786189669,65,34,32,146,190,104,185,275,276,510,325,295,373,192,370,372,214
"Bangladesh",204,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",124,"Fish liver oils, nei","fish_oil",4366,5278,3505,4705,4767,2928,3369,8597,8771,2076,2744,7796,5406,13020,44100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",124,"Miscellaneous corals and shells","shells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,5,39,41
"Barbados",124,"Natural sponges nei","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,168,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",124,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,136,173,124,207,121,134,155,182,191,131,144,119,151,168,166,240,230,254,367,391,383,374,358,276,181,178,210,260
"Barbados",124,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.707758065485,40.9003160463571,36.4134753856792,37.9221142344873,38.889697615366,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,4,0,0,0
"Barbados",124,"Z_TOTAL","fish_oil",4366,5278,3505,4705,4767,2928,3369,8597,8771,2076,2744,7796,5406,13020,44100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",124,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,136,173,124,207,121,134,155,182,191,131,144,119,151,168,166,240,230,254,367,391,383,374,358,276,181,178,210,260
"Barbados",124,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.707758065485,40.9003160463571,36.4134753856792,37.9221142344873,38.889697615366,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,4,0,0,0
"Barbados",124,"Z_TOTAL","shells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,5,39,41
"Barbados",124,"Z_TOTAL","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,168,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",59,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",59,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,16,0,2,1,1,1,2,0.1,1,0,0.1,482.828101455952,489.780197542173,0,504.05933026915,0,1
"Belgium",59,"Halibuts, liver oils","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1285,1248,1643,1538,895,1132,1054,807,579,1369,1249,1443,1481,1038,1381,914,845,1027,629,703,1673,1336,1322,1253
"Belgium",59,"Miscellaneous corals and shells","shells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"Belgium",59,"Natural sponges other than raw","sponges",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,14,1,7,0,0,0,0,0,0,0,0
"Belgium",59,"Natural sponges raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,47.4513535832702,4.73007827732363,8.95061142073973,6.12987329675343,0,0,0,0,0,18,0,0,0,0,0,0,18,4,0,0,0,3,0,4,0
"Belgium",59,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,110,75,55,39,76,66,71,80,91,113,117,333,174,109,154,186,175,131,112,117,104
"Belgium",59,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,13,0,10,116,111,180,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",59,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2527305352928,0,0,20.6450641348406,0,0,0,0,1777.81226769972,3600.62109498912,3806.74329969561,2879.19337851641,1204,849,100,0,0,291,0,0
"Belgium",59,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1285,1248,1643,1538,895,1140,1054,823,579,1371,1250,1444,1482,1040,1381.1,915,845,1027.1,1111.82810145595,1192.78019754217,1673,1840.05933026915,1322,1254
"Belgium",59,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,110,75,55,39,76,66,71,80,91,113,117,333,174,109,154,186,175,131,112,117,104
"Belgium",59,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,10,1.1,13,0,10,116,111,180,196.252730535293,1,0,20.6450641348406,0,0,0,0,1777.81226769972,3600.62109498912,3806.74329969561,2879.19337851641,1204,849,100,0,0,291,0,0
"Belgium",59,"Z_TOTAL","shells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"Belgium",59,"Z_TOTAL","sponges",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.4513535832702,4.73007827732363,10.9506114207397,6.12987329675343,0,2,0,0,0,18,0,0,0,0,14,1,25,4,0,0,0,3,0,4,0
"Belize",164,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,35,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belize",164,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.415989931834361,0.754767018062012,1.20735201003538,1.63402035020545,1.80490260518411,63,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belize",164,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belize",164,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0.1,1,0.1,0.1,0.1,1,1,0.1,0,18,35
