name,identifier,spp_count,version
Northern Africa,northern_africa,360,2019-1
Eastern Africa,eastern_africa,1604,2019-1
Persian Gulf,persian_gulf,471,2019-1
Europe,europe,13457,2019-1
Southern Africa,southern_africa,805,2019-1
Mediterranean,mediterranean,4706,2019-1
Western Africa,western_africa,977,2019-1
Central Africa,central_africa,1963,2019-1
Gulf of Mexico,gulf_of_mexico,940,2019-1
Pan-Africa,pan-africa,5119,2019-1
Northeastern Africa,northeastern_africa,305,2019-1
