"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Albania",82,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,87,221,100,27,45,78,44,77,19,14,0,50,16,0,104,38,37,0,0
"Albania",82,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,0,2,1,1,0,3,1,0,0,0,0,0,0
"Albania",82,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,87,221,100,27,45,78,44,77,19,14,0,50,16,0,104,38,37,0,0
"Albania",82,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,0,2,1,1,0,3,1,0,0,0,0,0,0
"Algeria",84,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,1,1,1,0.1,0.1,0,0,0,0,0,0,0,0
"Algeria",84,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,1,1,1,0.1,0.1,0,0,0,0,0,0,0,0
"Angola",200,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,931,688,400,0,0,922,811,851,500,0,0,0,0,203,100,16,1632,2031
"Angola",200,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,34,2,0,0,0,0,0,0,0,0,40,8,8,2,25,0,945,0
"Angola",200,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,965,690,400,0,0,922,811,851,500,0,40,8,8,205,125,16,2577,2031
"Argentina",172,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,55,25,2,1,1,1,1,1,3,4,2,2,5,1,1,2,0.1,0.1,0.1,0.1,0
"Argentina",172,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,184,353,375,368,46,209,537,531,575,443,113,96,913,1249,1000,992,685,463,959,1543,1015,1243,1224,247,1203,539,495
"Argentina",172,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0,1,0.1,1,1,1995,5,0,0.1,0.1,0,0.1,0,0.1,31,27,5,2,0.1,0.1,0,0.1,0,0,0,0,1
"Argentina",172,"Ornamental fish nei","ornamentals",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,1,0.1,0.1,1,8,1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,1,1,2,1,2,2,1,1,1,1,1,0,0,0,0
"Argentina",172,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,74,239,704,375,211,198,229,120,18,1,0.1,59,42,88,169,84,116,126,125,119,0,0,0,NA
"Argentina",172,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,77,158,101
"Argentina",172,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,80,184,354,375.1,369,47,2204,542,531,575.1,443.1,113,96.1,913,1249.1,1031,1019,690,465,959.1,1543.1,1015,1243.1,1224,247,1203,539,496
"Argentina",172,"Z_TOTAL","ornamentals",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,1,0.1,0.1,1,8,1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,1,1,2,1,2,2,1,1,1,1,1,0,0,0,0
"Argentina",172,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,74,239,753,430,236,200,230,121,19,2,1.1,62,46,90,171,89,117,127,127,119.1,74.1,77.1,158.1,101
"Australia",16,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,2,0.1,0.1,0.1,0.1,0.1,0.1,4,55,200,122,1,0.1,0.1,0.1,1,1,1
"Australia",16,"Coral and the like","corals",464,524,705,981,1505,663,739,613,535,468,0,0,0,0,1618,1420,1300,1369,1780,1188,894,902,1377,861,982,829,1412,941,782,707,1676,616,446,294,353,426,1118,916,704,912
"Australia",16,"Fish body oils, nei","fish_oil",21,56,62,1,2,6,7,28,719,4,84,0.1,230,515,2,0.1,353,44,45,53,24,1,130,12,103,64,21,114,69,260,389,448,302,1517,1282,1555,2262,2694,2524,7119
"Australia",16,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,27,79,132,282,526,200,244,219,219,173,143,105,68,129,110,61,52,68,59,69,98,113,260,139,88,81
"Australia",16,"Mother of pearl shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,0,0,0,209,219,0,181,133,268,150,189,215,135,342,204,0,0,0,NA
"Australia",16,"Natural sponges raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,51,9,26,0,0,225,639,128,45,11,2,4,9,16,10,0,0,0,0
"Australia",16,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7570220922919,43.9837193032598,64.5843025929268,76.7718108033606,117.58888794014,166,172,377,324,131,167,179,191,80,114.272390134098,164.632656912992,108.636586496208,98.47294001853,184.871304524886,271.771942170301,276.29978501009,273.293530763998,282.844104994373,0,0,0,0
"Australia",16,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,110.010978970194,108.295978937909,134.973151841246,113.365546567443,106.044448694367,135.615091451016,138.421138064531,110.845751218273,106.056439466845,475.790631853449,455.810603372135,117,129
"Australia",16,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1551,2692,2138,3156,3000,3431,3126,3569,3400,3964,2700,3370,4430,1350,4150,5400,5420,3340,2690,1980,3240,2450,0,0,0,NA
"Australia",16,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1180,836,959,552
"Australia",16,"Shells nei","shells",366,451,538,331,496,395,312,259,233,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",16,"Z_TOTAL","corals",464,524,705,981,1505,663,739,613,535,468,0,0,0,0,1618,1420,1300,1369,1780,1188,894,902,1377,861,982,829,1412,941,782,707,1676,616,446,294,353,426,1118,916,704,912
"Australia",16,"Z_TOTAL","fish_oil",21,56,62,1,2,6,7,28,719,4,84,0.1,230,533,29,79.1,485,326,571,253,268,220,349,185,246,169,89,243,179,321,441,516,361,1586,1380,1668,2522,2833,2612,7200
"Australia",16,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7570220922919,43.9837193032598,64.5843025929268,76.7718108033606,117.58888794014,166,172,377,324,131,167,179,202,80,224.283369104291,272.928635850902,243.609738337454,211.838486585973,290.915753219254,407.387033621317,414.720923074621,384.139281982271,388.900544461218,475.790631853449,455.810603372135,117,129
"Australia",16,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1551,2692,2138,3156,3000,3438,3130,3573,3402,3964.1,2700.1,3370.1,4430.1,1350.1,4150.1,5404,5475,3540,2812,1981,3240.1,2450.1,1180.1,837,960,553
"Australia",16,"Z_TOTAL","shells",366,451,538,331,496,395,312,259,233,184,0,0,0,0,0,0,0,0,0,0,234,0,0,0,209,219,0,181,133,268,150,189,215,135,342,204,0,0,0,0
"Australia",16,"Z_TOTAL","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,51,9,26,0,0,225,639,128,45,11,2,4,9,16,10,0,0,0,0
"Azerbaijan",255,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,71,36,13,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan",255,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,71,36,13,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"Bahamas",110,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,10,2,22,31,13,28,17,33,24,46
"Bahamas",110,"Natural sponges nei","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,73,66,96,97,84,67,8,3,31,23,50,31,26,0,0,0,0,0,0,0
"Bahamas",110,"Trochus shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,0,0,0,20,35,2,73,31,0.1,85,67,45,78,92
"Bahamas",110,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,0,0,0,20,45,4,95,62,13.1,113,84,78,102,138
"Bahamas",110,"Z_TOTAL","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,73,66,96,97,84,67,8,3,31,23,50,31,26,0,0,0,0,0,0,0
"Bahrain",52,"Fish body oils, nei","fish_oil",2,0,1,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Bahrain",52,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahrain",52,"Z_TOTAL","fish_oil",2,0,1,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Bahrain",52,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh",204,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,50,63,74,74,103,35,200
"Bangladesh",204,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,121,248,423,176,222,673,949,2197,2178,530
"Bangladesh",204,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,11,10,2,0.1,0.1,1,10,0,0,0,0
