year,goal,region_id,score
2012,AO,1,96.09
2012,AO,2,96.09
2012,AO,3,96.09
2012,AO,4,96.09
2012,AO,5,64.93
2012,AO,6,46.74
2012,AO,7,45.08
2012,AO,8,58
2012,AO,9,47.48
2012,AO,10,53.37
2012,AO,11,54.77
2012,AO,12,93.52
2012,AO,13,84.93
2012,AO,14,84.16
2012,AO,15,62.27
2012,AO,16,97.41
2012,AO,17,52.67
2012,AO,18,52.24
2012,AO,19,47.09
2012,AO,20,94.33
2012,AO,21,71.61
2012,AO,24,65.76
2012,AO,25,75.91
2012,AO,26,63.94
2012,AO,28,43.33
2012,AO,29,52.46
2012,AO,30,52.55
2012,AO,31,72.49
2012,AO,32,51.87
2012,AO,33,51.81
2012,AO,34,51.72
2012,AO,35,52.74
2012,AO,36,51.87
2012,AO,37,65.9
2012,AO,38,57.39
2012,AO,39,58.01
2012,AO,40,55.04
2012,AO,41,43.79
2012,AO,42,43.53
2012,AO,43,60.71
2012,AO,44,47.02
2012,AO,45,57.08
2012,AO,46,52.98
2012,AO,47,59.2
2012,AO,48,94.12
2012,AO,49,51.2
2012,AO,50,98.65
2012,AO,51,100
2012,AO,52,90.26
2012,AO,53,60.15
2012,AO,54,100
2012,AO,55,82.31
2012,AO,56,51.26
2012,AO,57,82.99
2012,AO,58,82.37
2012,AO,59,95.83
2012,AO,60,81.86
2012,AO,61,73.6
2012,AO,62,64.67
2012,AO,63,52.97
2012,AO,64,53.28
2012,AO,65,58.09
2012,AO,66,52.66
2012,AO,67,49.95
2012,AO,68,87.67
2012,AO,69,78.06
2012,AO,70,87.61
2012,AO,71,75.01
2012,AO,72,77.3
2012,AO,73,85.35
2012,AO,74,72.21
2012,AO,75,65.77
2012,AO,76,81.12
2012,AO,77,84.72
2012,AO,78,72.41
2012,AO,79,91.19
2012,AO,80,82.65
2012,AO,81,93.61
2012,AO,82,74.22
2012,AO,84,74.65
2012,AO,85,95.95
2012,AO,86,95.95
2012,AO,88,95.95
2012,AO,89,89.7
2012,AO,90,80.55
2012,AO,91,88.89
2012,AO,92,88.65
2012,AO,93,88.82
2012,AO,94,90.38
2012,AO,95,95.95
2012,AO,96,57.73
2012,AO,97,42.74
2012,AO,98,42.62
2012,AO,99,44.02
2012,AO,100,54.56
2012,AO,101,87.47
