"species","rgn_id"
"Seaweeds nei",182
"Babberlocks",223
"Babberlocks",181
"Brown seaweeds",73
"Brown seaweeds",175
"Brown seaweeds",181
"Brown seaweeds",183
"Dulse",181
"Seaweeds nei",179
"Wakame",182
"Wakame nei",179
"Seaweeds nei",102
"Mozuku",155
"Brown seaweeds",135
"Coarse seagrape",153
"Seaweeds nei",14
"Bright green nori",209
"Brown seaweeds",20
"Fusiform sargassum",209
"Green laver",20
"Japanese kelp",21
"Japanese kelp",209
"Japanese kelp",210
"Japanese kelp",20
"Laver (Nori)",20
"Laver (Nori)",21
"Laver (Nori)",210
"Laver (Nori)",14
"Nori nei",209
"Seaweeds nei",20
"Seaweeds nei",210
"Seaweeds nei",209
"Wakame",20
"Wakame",21
"Wakame",210
"Wakame",209
"[Chondracanthus chamissoi]",138
"[Porphyra columbina]",224
"Caulerpa seaweeds",15
"Seaweeds nei",206
