"rgn_id","year","fis_catch"
1,2005,1075.08594777
1,2006,632.18669506
1,2007,1087.591649829
1,2008,459.699843419
1,2009,466.693708397
1,2010,478.664284001
1,2011,351.737850475
1,2012,409.980926542
1,2013,345.855348716
1,2014,409.830705098
1,2015,412.89740149
2,2005,1028.081229664
2,2006,1047.789719549
2,2007,1634.771030515
2,2008,939.606990507
2,2009,1036.435098345
2,2010,823.195992313
2,2011,639.926054465
2,2012,935.670794266
2,2013,1110.231129137
2,2014,1104.763342588
2,2015,1502.474831782
3,2005,1749.604492906
3,2006,2005.301326663
3,2007,885.417453176
3,2008,1215.490348633
3,2009,1712.722616425
3,2010,827.980778409
3,2011,1622.022896956
3,2012,1086.991312858
3,2013,978.434742798
3,2014,1857.160618935
3,2015,1532.268252473
4,2005,25.468625951
4,2006,25.596690668
4,2007,21.397855998
4,2008,27.344553861
4,2009,24.933846846
4,2010,24.705984091
4,2011,18.141880892
4,2012,34.705938343
4,2013,25.025670932
4,2014,33.655292663
4,2015,0.257262849
5,2005,70352.7742843
5,2006,3673.431471643
5,2007,3967.540326725
5,2008,4319.908623113
5,2009,4220.253248914
5,2010,4638.16264788
5,2011,4103.535256181
5,2012,4323.580483304
5,2013,3943.934932143
5,2014,4168.984827857
5,2015,4084.99334139
6,2005,9703.326460093
6,2006,8039.457738313
6,2007,7833.458991008
6,2008,6286.287318419
6,2009,8585.005282653
6,2010,11514.35419963
6,2011,7953.480384482
6,2012,8469.085770044
6,2013,10628.755069652
6,2014,7854.372634039
6,2015,8556.984155882
7,2005,54037.253817187
7,2006,33107.708852674
7,2007,30049.114742428
7,2008,24899.585658919
7,2009,29304.247158118
7,2010,29162.26308031
7,2011,33023.506676972
7,2012,32921.555971229
7,2013,29906.353074899
7,2014,42105.359975217
7,2015,45426.803982948
8,2005,4218.256321636
8,2006,3865.281041083
8,2007,4165.426107195
8,2008,3546.819590646
8,2009,3882.435939794
8,2010,4657.64559333
8,2011,5983.177128411
8,2012,5778.75091708
8,2013,5194.766184335
8,2014,6731.835676953
8,2015,7547.171558332
