zone,sum
1,135
2,2
3,0
4,0
5,5008
6,532
7,2783
8,564
9,3501
10,3
11,2198
12,12
13,222
14,389
15,12376
16,36348
17,7921
18,3434
19,1004
20,0
21,0
24,54
25,143
26,711
28,190
29,330
30,187
31,1646
32,15
33,59
34,37
35,8
36,7
37,742
38,2053
39,3102
40,101
41,1685
42,2522
43,470
44,391
45,1438
46,197
47,669
48,275
49,692
50,3119
51,64
52,239
53,0
54,128
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
84,0
85,0
86,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,2
108,607
110,2503
111,210
112,2933
113,139
114,286
115,334
116,203
117,138
118,30
119,38
120,62
121,4
122,25
123,11
124,28
125,50
126,30
127,31
129,586
130,34
131,517
132,1069
133,728
134,0
135,1485
136,7
137,93
138,0
139,363
140,173
141,0
143,0
144,0
145,0
146,33
147,3117
148,162
149,2
150,76
151,36
152,172
153,265
154,12
155,1111
156,98
157,77
158,10
159,89
161,447
162,0
163,4599
164,976
166,483
167,0
168,0
169,0
171,771
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,169
191,111
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
202,1885
203,1369
204,5
205,566
206,1797
207,413
208,3
209,350
210,1004
212,1790
214,2016
215,2
216,20297
218,0
219,0
220,3
221,13
222,0
223,0
224,0
227,0
228,0
231,26
232,0
237,3
244,19
245,9
247,75
248,180
249,18
250,61
260,0
261,0
262,0
263,0
264,0
266,0
267,0
269,0
270,0
272,0
273,0
274,0
275,0
276,0
277,0
248100,0
248200,0
248300,0
248400,0
248500,0
248600,0
258410,0
258420,0
258431,0
258432,0
258441,0
258442,0
258510,0
258520,0
258600,0
258700,0
288100,0
288200,0
288300,0
