rgn_id,rgn_name,score
14,Taiwan,4.468439441
15,Philippines,3.60035374
16,Australia,5.101144781
20,South Korea,4.568005325
24,Cambodia,3.315400968
25,Thailand,4.38192392
31,Seychelles,NA
37,Mauritius,3.919965568
40,Sri Lanka,3.814680181
41,Mozambique,2.913821351
42,Madagascar,2.987542037
43,Kenya,3.592097678
47,Yemen,2.440747303
48,Oman,3.784873984
50,Saudi Arabia,3.821502584
51,Kuwait,3.328275372
52,Bahrain,3.893248625
53,Pakistan,2.8916168
54,United Arab Emirates,4.491811081
56,Cape Verde,3.552187355
59,Belgium,4.541969166
61,Tunisia,3.502302356
62,Morocco,3.81343696
64,Mauritania,2.638156534
65,Gambia,3.122958858
66,Senegal,3.143195157
68,Malta,4.254681623
69,Latvia,3.967905277
70,Estonia,4.226438423
71,Bulgaria,4.13603739
72,Romania,3.775753741
73,Russia,4.150088195
74,Georgia,3.701940612
75,Ukraine,3.495989915
76,Turkey,4.141634032
78,Lebanon,3.371947661
79,Israel,3.844390048
80,Greece,4.506269625
81,Cyprus,4.02196274
82,Albania,3.35165818
84,Algeria,3.069788126
96,Sierra Leone,2.692890233
99,Benin,2.842112832
101,Namibia,3.589498313
102,South Africa,4.005160573
106,Ghana,3.041722143
114,Haiti,NA
115,Dominican Republic,3.623781899
116,Puerto Rico and Virgin Islands of the United States,NA
124,Barbados,3.905062961
126,Trinidad and Tobago,3.671050391
129,Panama,4.368152856
130,Costa Rica,4.224876052
131,Nicaragua,3.439889809
132,Colombia,3.8299357
133,Honduras,3.487556628
134,El Salvador,3.275355634
135,Mexico,4.536173748
136,Guatemala,3.506098628
137,Ecuador,3.911033259
138,Peru,4.043229952
139,Venezuela,3.283043807
143,Iceland,4.498041716
162,New Zealand,4.680963685
163,United States,5.121845797
166,Jamaica,3.714632088
167,Guyana,NA
168,Suriname,NA
171,Brazil,4.4942443
172,Argentina,4.050080804
173,Uruguay,3.613144235
174,Finland,4.398288468
175,Denmark,4.429190747
176,Germany,5.283698744
177,Netherlands,4.642105619
178,Poland,4.111768182
179,France,5.322583913
180,United Kingdom,5.202575392
181,Ireland,4.525045897
182,Spain,5.426412613
183,Portugal,4.741736331
184,Italy,4.992777675
186,Montenegro,3.68394671
187,Croatia,4.418147241
188,Slovenia,4.182332965
189,Lithuania,3.914711959
190,Qatar,4.075093516
191,Iran,3.426791756
194,Guinea,NA
195,Ivory Coast,3.163351738
196,Nigeria,2.818192947
197,Cameroon,2.876633236
198,Gabon,3.061025285
199,Democratic Republic of the Congo,2.63786684
200,Angola,NA
202,Tanzania,3.449867706
203,India,4.182856986
204,Bangladesh,2.890047203
205,Myanmar,NA
206,Malaysia,4.496360474
207,Vietnam,3.784106301
208,Singapore,4.854582713
209,China,4.724559453428048
210,Japan,5.263670498
214,Egypt,3.643989305
215,Jordan,3.632885755
216,Indonesia,4.15509229
218,Canada,4.970828626
222,Sweden,4.55394765
223,Norway,4.638319307
224,Chile,4.063111138
232,Bosnia and Herzegovina,3.1198819
255,Azerbaijan,3.700868177
