"rgn_id","year","gapfill","method"
1,2000,1,"UN georegion avg. (r2)"
1,2001,1,"UN georegion avg. (r2)"
1,2002,1,"UN georegion avg. (r2)"
1,2003,1,"UN georegion avg. (r2)"
1,2004,1,"UN georegion avg. (r2)"
1,2005,1,"UN georegion avg. (r2)"
1,2006,1,"UN georegion avg. (r2)"
1,2007,1,"UN georegion avg. (r2)"
1,2008,1,"UN georegion avg. (r2)"
1,2009,1,"UN georegion avg. (r2)"
1,2010,1,"UN georegion avg. (r2)"
1,2011,1,"UN georegion avg. (r2)"
1,2012,1,"UN georegion avg. (r2)"
1,2013,1,"UN georegion avg. (r2)"
1,2014,1,"UN georegion avg. (r2)"
1,2015,1,"UN georegion avg. (r2)"
2,2000,1,"UN georegion avg. (r2)"
2,2001,1,"UN georegion avg. (r2)"
2,2002,1,"UN georegion avg. (r2)"
2,2003,1,"UN georegion avg. (r2)"
2,2004,1,"UN georegion avg. (r2)"
2,2005,1,"UN georegion avg. (r2)"
2,2006,1,"UN georegion avg. (r2)"
2,2007,1,"UN georegion avg. (r2)"
2,2008,1,"UN georegion avg. (r2)"
2,2009,1,"UN georegion avg. (r2)"
2,2010,1,"UN georegion avg. (r2)"
2,2011,1,"UN georegion avg. (r2)"
2,2012,1,"UN georegion avg. (r2)"
2,2013,1,"UN georegion avg. (r2)"
2,2014,1,"UN georegion avg. (r2)"
2,2015,1,"UN georegion avg. (r2)"
3,2000,1,"UN georegion avg. (r2)"
3,2001,1,"UN georegion avg. (r2)"
3,2002,1,"UN georegion avg. (r2)"
3,2003,1,"UN georegion avg. (r2)"
3,2004,1,"UN georegion avg. (r2)"
3,2005,1,"UN georegion avg. (r2)"
3,2006,1,"UN georegion avg. (r2)"
3,2007,1,"UN georegion avg. (r2)"
3,2008,1,"UN georegion avg. (r2)"
3,2009,1,"UN georegion avg. (r2)"
3,2010,1,"UN georegion avg. (r2)"
3,2011,1,"UN georegion avg. (r2)"
3,2012,1,"UN georegion avg. (r2)"
3,2013,1,"UN georegion avg. (r2)"
3,2014,1,"UN georegion avg. (r2)"
3,2015,1,"UN georegion avg. (r2)"
4,2000,1,"uninhabited, perfect score"
4,2001,1,"uninhabited, perfect score"
4,2002,1,"uninhabited, perfect score"
4,2003,1,"uninhabited, perfect score"
4,2004,1,"uninhabited, perfect score"
4,2005,1,"uninhabited, perfect score"
4,2006,1,"uninhabited, perfect score"
4,2007,1,"uninhabited, perfect score"
4,2008,1,"uninhabited, perfect score"
4,2009,1,"uninhabited, perfect score"
4,2010,1,"uninhabited, perfect score"
4,2011,1,"uninhabited, perfect score"
4,2012,1,"uninhabited, perfect score"
4,2013,1,"uninhabited, perfect score"
4,2014,1,"uninhabited, perfect score"
4,2015,1,"uninhabited, perfect score"
5,2000,0,NA
5,2001,0,NA
5,2002,0,NA
5,2003,0,NA
5,2004,0,NA
5,2005,0,NA
5,2006,0,NA
5,2007,0,NA
5,2008,0,NA
5,2009,0,NA
5,2010,0,NA
5,2011,0,NA
5,2012,0,NA
5,2013,0,NA
5,2014,0,NA
5,2015,0,NA
6,2000,0,NA
6,2001,0,NA
6,2002,0,NA
6,2003,0,NA
6,2004,0,NA
6,2005,0,NA
6,2006,0,NA
6,2007,0,NA
6,2008,0,NA
6,2009,0,NA
6,2010,0,NA
6,2011,0,NA
6,2012,0,NA
6,2013,0,NA
6,2014,0,NA
6,2015,0,NA
7,2000,0,NA
7,2001,0,NA
7,2002,0,NA
7,2003,0,NA
7,2004,0,NA
7,2005,0,NA
7,2006,0,NA
7,2007,0,NA
7,2008,0,NA
7,2009,0,NA
7,2010,0,NA
7,2011,0,NA
7,2012,0,NA
7,2013,0,NA
7,2014,0,NA
7,2015,0,NA
8,2000,0,NA
8,2001,0,NA
8,2002,0,NA
8,2003,0,NA
8,2004,0,NA
8,2005,0,NA
8,2006,0,NA
8,2007,0,NA
8,2008,0,NA
8,2009,0,NA
8,2010,0,NA
8,2011,0,NA
8,2012,0,NA
8,2013,0,NA
8,2014,0,NA
8,2015,0,NA
9,2000,1,"lm prediction"
9,2001,1,"lm prediction"
9,2002,1,"lm prediction"
9,2003,1,"lm prediction"
9,2004,1,"lm prediction"
9,2005,1,"lm prediction"
9,2006,0,NA
9,2007,0,NA
9,2008,0,NA
9,2009,0,NA
9,2010,0,NA
9,2011,0,NA
9,2012,0,NA
9,2013,0,NA
9,2014,0,NA
9,2015,1,"lm prediction"
10,2000,0,NA
10,2001,0,NA
10,2002,0,NA
10,2003,0,NA
10,2004,0,NA
10,2005,0,NA
10,2006,0,NA
10,2007,0,NA
10,2008,0,NA
10,2009,0,NA
10,2010,0,NA
10,2011,0,NA
10,2012,0,NA
10,2013,0,NA
10,2014,0,NA
10,2015,0,NA
11,2000,1,"lm prediction"
11,2001,0,NA
11,2002,0,NA
11,2003,0,NA
11,2004,0,NA
11,2005,0,NA
11,2006,0,NA
11,2007,0,NA
11,2008,0,NA
