assess_year,country,level,date,rgn_name,regional,location,risk_factor
2018,Afghanistan,4: Do not travel,1/10/18,Afghanistan,,,"crime, terrorism, civil unrest, and armed conflict"
2018,Albania,1: Exercise normal precautions,6/18/18,Albania,,,
2018,Albania,2: Exercise increased caution,6/18/18,Albania,1,The southern town of Lazarat,cirme
2018,Algeria,2: Exercise increased caution,1/10/18,Algeria,1,eastern and southern borders,terrorism
2018,Algeria,2: Exercise increased caution,1/10/18,Algeria,1,Sahara Desert,terrorism
2018,Andorra,1: Exercise normal precautions,1/10/18,Andorra,,,
2018,Angola,1: Exercise normal precautions,1/10/18,Angola,,,
2018,Angola,2: Exercise increased caution,1/10/18,Angola,1,Urban areas,crime
2018,Anguilla,1: Exercise normal precautions,4/10/18,Anguilla,,,
2018,Antarctica,2: Exercise increased caution,1/10/18,Antarctica,,,extreme and unpredictable weather
2018,Antigua and Barbuda,1: Exercise normal precautions,1/10/18,Antigua and Barbuda,,,
2018,Antigua and Barbuda,4: Do not travel,1/10/18,Antigua and Barbuda,1,Island of Barbuda,aftermath of natural disaster
2018,Argentina,1: Exercise normal precautions,1/10/18,Argentina,,,
2018,Armenia,1: Exercise normal precautions,1/10/18,Armenia,,,
2018,Armenia,4: Do not travel,1/10/18,Armenia,1,The Nagorno-Karabakh,armed conflict
2018,Aruba,1: Exercise normal precautions,1/10/18,Aruba,,,
2018,Australia,1: Exercise normal precautions,1/10/18,Australia,,,
2018,Austria,1: Exercise normal precautions,1/10/18,Austria,,,
2018,Azerbaijan,2: Exercise increased caution,1/10/18,Azerbaijan,,,terrorism
2018,Azerbaijan,4: Do not travel,1/10/18,Azerbaijan,1,The Nagorno-Karabakh,armed conflict
2018,Bahrain,1: Exercise normal precautions,1/10/18,Bahrain,,,
2018,Bangladesh,2: Exercise increased caution,6/1/18,Bangladesh,,,crime and terrorism
2018,Bangladesh,3: Reconsider travel,6/1/18,Bangladesh,1,Dhaka,crime and terrorism
2018,Bangladesh,3: Reconsider travel,6/1/18,Bangladesh,1,"Southeast Bangladesh, including the Chittagong Hill Tracts",crime and terrorism
2018,Barbados,1: Exercise normal precautions,1/10/18,Barbados,,,
2018,Belarus,1: Exercise normal precautions,6/18/18,Belarus,,,
2018,Belgium,2: Exercise increased caution,1/10/18,Belgium,,,terrorism
2018,Belize,2: Exercise increased caution,1/10/18,Belize,,,crime
2018,Benin,1: Exercise normal precautions,5/11/18,Benin,,,
2018,Benin,2: Exercise increased caution,5/11/18,Benin,1,Urban areas,crime
2018,Benin,2: Exercise increased caution,5/11/18,Benin,1,Beaches,crime
2018,Bermuda,1: Exercise normal precautions,1/10/18,Bermuda,,,
2018,Bhutan,1: Exercise normal precautions,1/10/18,Bhutan,,,
2018,Bolivia,1: Exercise normal precautions,1/10/18,Bolivia,,,
2018,"Bonaire, St. Eustatius, and Saba (BES)",1: Exercise normal precautions,1/10/18,Bonaire,,,
2018,Bosnia-Herzegovina,2: Exercise increased caution,6/21/18,Bosnia and Herzegovina,,,terrorism and land mines
2018,Botswana,1: Exercise normal precautions,1/10/18,Botswana,,,
2018,Brazil,2: Exercise increased caution,1/10/18,Brazil,,,crime
2018,Brazil,4: Do not travel,1/10/18,Brazil,1,"150 km of Brazil’s land borders with Venezuela, Colombia, Peru, Bolivia, Guyana, Suriname, French Guiana, and Paraguay",crime
