region_id,score,dimension,year
1,0,status,2017
2,0,status,2017
3,0,status,2017
4,NA,status,2017
5,0.07,status,2017
6,0,status,2017
7,0,status,2017
8,0.03,status,2017
9,0,status,2017
10,100,status,2017
11,0,status,2017
12,NA,status,2017
13,0.2,status,2017
14,100,status,2017
15,4.72,status,2017
16,0.08,status,2017
17,0,status,2017
18,0,status,2017
19,0,status,2017
20,100,status,2017
21,15.95,status,2017
24,0.63,status,2017
25,6.05,status,2017
26,0,status,2017
28,0,status,2017
29,0.07,status,2017
30,NA,status,2017
31,0,status,2017
32,0.14,status,2017
33,NA,status,2017
34,NA,status,2017
35,NA,status,2017
36,NA,status,2017
37,0.05,status,2017
38,0,status,2017
39,0,status,2017
40,0.08,status,2017
41,0,status,2017
42,0.04,status,2017
43,0,status,2017
44,0,status,2017
45,0,status,2017
46,0,status,2017
47,0,status,2017
48,0,status,2017
49,0,status,2017
50,0.94,status,2017
51,0.03,status,2017
52,0,status,2017
53,0,status,2017
54,0.21,status,2017
55,0,status,2017
56,0,status,2017
57,0,status,2017
58,0,status,2017
59,0,status,2017
60,0,status,2017
61,0.73,status,2017
62,0.04,status,2017
63,0,status,2017
64,0,status,2017
65,0.01,status,2017
66,0.08,status,2017
67,0,status,2017
68,37.64,status,2017
69,0,status,2017
70,0,status,2017
71,100,status,2017
72,0.16,status,2017
73,0.69,status,2017
74,0.04,status,2017
75,0.04,status,2017
76,71.24,status,2017
77,0,status,2017
78,0.09,status,2017
79,6.95,status,2017
80,58.26,status,2017
81,21.19,status,2017
82,7.48,status,2017
84,0.7,status,2017
85,0,status,2017
86,0,status,2017
88,0,status,2017
89,NA,status,2017
90,NA,status,2017
91,NA,status,2017
92,NA,status,2017
93,NA,status,2017
94,NA,status,2017
95,0,status,2017
96,0,status,2017
97,0,status,2017
98,0,status,2017
99,0,status,2017
100,0,status,2017
101,0.01,status,2017
102,0.09,status,2017
103,0,status,2017
104,0,status,2017
105,NA,status,2017
106,0,status,2017
107,NA,status,2017
108,0,status,2017
110,0,status,2017
111,0,status,2017
112,0.16,status,2017
113,0,status,2017
114,0,status,2017
115,0.21,status,2017
116,0,status,2017
117,0,status,2017
118,0,status,2017
119,0,status,2017
120,0,status,2017
121,0,status,2017
122,0,status,2017
123,0,status,2017
124,0,status,2017
125,0,status,2017
126,0,status,2017
127,0,status,2017
129,0.53,status,2017
130,0.52,status,2017
131,0.73,status,2017
132,0.06,status,2017
133,1.11,status,2017
134,0.15,status,2017
135,0.76,status,2017
136,3,status,2017
137,21.47,status,2017
138,0.82,status,2017
139,0.28,status,2017
140,0.08,status,2017
141,13.99,status,2017
143,0.8,status,2017
144,NA,status,2017
145,0,status,2017
146,0,status,2017
147,0.32,status,2017
148,0,status,2017
149,NA,status,2017
150,NA,status,2017
151,0,status,2017
152,0,status,2017
153,0.03,status,2017
154,0,status,2017
155,0.01,status,2017
156,0,status,2017
157,0,status,2017
158,NA,status,2017
159,NA,status,2017
161,0,status,2017
162,1.99,status,2017
163,1.18,status,2017
164,0.51,status,2017
166,0,status,2017
167,0,status,2017
168,0,status,2017
169,0,status,2017
171,0.21,status,2017
172,0,status,2017
173,0,status,2017
174,100,status,2017
175,75.8,status,2017
176,92.8,status,2017
177,100,status,2017
178,0,status,2017
179,39.47,status,2017
180,8.08,status,2017
181,3.95,status,2017
182,100,status,2017
183,20.92,status,2017
184,80.15,status,2017
185,0,status,2017
186,0.86,status,2017
187,23.78,status,2017
188,100,status,2017
189,0,status,2017
190,0,status,2017
191,4.2,status,2017
192,0,status,2017
193,0,status,2017
194,0,status,2017
195,0,status,2017
196,0,status,2017
197,0,status,2017
198,0,status,2017
199,0,status,2017
200,0,status,2017
202,0.07,status,2017
203,2.64,status,2017
204,3.79,status,2017
205,0.19,status,2017
206,0.82,status,2017
207,4.63,status,2017
208,100,status,2017
209,100,status,2017
210,18.98,status,2017
212,0,status,2017
214,29.56,status,2017
215,0,status,2017
216,1.51,status,2017
218,1.4,status,2017
219,100,status,2017
220,0,status,2017
221,0,status,2017
222,56.94,status,2017
223,100,status,2017
224,7.48,status,2017
227,0,status,2017
228,0,status,2017
231,0.01,status,2017
232,100,status,2017
237,0,status,2017
244,0,status,2017
245,0,status,2017
247,0.19,status,2017
248,0,status,2017
249,0,status,2017
250,0,status,2017
