"rgn_id","pressures.score"
5,1
6,1
7,1
8,1
9,NA
10,1
13,1
14,0.422965589507617
15,0.782975607369605
16,0.249774455727714
17,1
18,1
19,1
20,0.618600168720157
21,1
24,0.964391691394659
25,0.212534064949279
29,1
31,NA
32,1
37,1
40,0.0561755544772966
41,NA
42,0.808041925609869
43,1
45,NA
47,NA
48,1
50,0.306948640483384
51,1
52,1
53,1
54,1
61,1
62,0
65,1
66,0.508150291792104
67,NA
68,1
70,NA
71,1
72,1
73,0.0200433369447454
75,NA
76,0.595541379286538
78,NA
79,1
80,0.239556692945206
81,1
82,1
84,1
95,NA
99,NA
101,0.0276243093922652
102,0.418831168831169
110,NA
111,1
112,1
115,1
116,NA
119,1
122,1
129,0.137931034482759
130,0.216867469879518
131,0
132,0
133,1
134,1
135,0.0788779587911657
136,1
137,0
138,0.506489822230055
139,0.00032605151613955
140,1
141,0
143,0
147,1
152,NA
153,1
155,1
162,0.981901748629611
163,0.166205200789313
164,0.00332225913621262
166,NA
167,1
168,1
171,0.256747592567476
172,0
173,NA
174,1
175,0.800500894454383
176,0
177,0.00209168554993899
178,NA
179,0.112737584304108
180,0.0214647370217388
181,0.0021001795780056
182,0.863035035955974
183,0.01111787828896
184,0.867730974457474
186,1
187,1
188,1
190,NA
191,1
196,NA
202,1
203,0.908545485579922
204,0.97235264514991
205,0.0638883489484119
206,0.897090209649818
207,0.481261826890803
208,1
209,0.953630191075414
210,0.540727429593418
212,0.999452354874042
214,0.953258929142433
215,1
216,0.935306475128092
218,0.173416007712529
219,1
222,0
223,0.0677352351601269
224,0.373244550523443
231,1
232,1
244,NA
245,NA
247,1
250,NA
