years,median_mu,N,mean_mu,N,se_mu,net_area,avg_study_length
<1930,-0.76,2,-0.76,2,0.14,-14730,82.5
1930-1940,-0.89,3,-1.8,3,1.04,-14880,20
1940-1950,-1.82,13,-3.83,13,1.31,-16667,28.3
1950-1960,-1.82,28,-3.4,27,0.8,-34280,27.3
1960-1970,-3.03,49,-5.85,46,1.51,-47575,20.5
1970-1980,-4.46,69,-7.75,65,1.96,-66348,17
1980-1990,-5.53,98,-9.23,94,1.12,-371465,14.7
1990-2000,-7.67,115,-15.9,109,3.43,-348830,9.5
