years,median_mu,N,mean_mu,N,se_mu,net_area,avg_study_length
<1930,,,,,,,
1930-1940,4.49,7,4.35,7,0.91,721,15.8
1940-1950,4.49,11,4.89,11,1.14,786,15.4
1950-1960,4.82,20,8.57,20,2.29,4923,11.7
1960-1970,4.26,21,5.98,21,1.38,20880,10.4
1970-1980,4.34,37,4.76,30,0.69,23039,14.2
1980-1990,6.38,75,12.42,66,2.48,35749,8.8
1990-2000,8.45,72,19.07,68,3.83,28823,7.9
