rgn_id,fao_id,scientificname,stockid,stocklong,commonname
163,21,Arctica islandica,QUAHATLC,Ocean quahog Atlantic Coast,Ocean quahog
145,21,Arctica islandica,NA,NA,NA
218,21,Arctica islandica,NA,NA,NA
219,21,Arctica islandica,NA,NA,NA
261,21,Arctica islandica,NA,NA,NA
143,27,Arctica islandica,NA,NA,NA
139,31,Arctica islandica,NA,NA,NA
163,31,Arctica islandica,NA,NA,NA
61,37,Arctica islandica,NA,NA,NA
67,37,Arctica islandica,NA,NA,NA
75,37,Arctica islandica,NA,NA,NA
14,61,Arctica islandica,NA,NA,NA
20,61,Arctica islandica,NA,NA,NA
21,61,Arctica islandica,NA,NA,NA
209,61,Arctica islandica,NA,NA,NA
210,61,Arctica islandica,NA,NA,NA
143,NA,Arctica islandica,NA,NA,NA
218,NA,Arctica islandica,NA,NA,NA
210,61,Arctoscopus japonicus,SSANDWSJ,Sailfin sandfish Sea of Japan West,Sailfin sandfish
163,21,Arctoscopus japonicus,NA,NA,NA
163,31,Arctoscopus japonicus,NA,NA,NA
76,37,Arctoscopus japonicus,NA,NA,NA
182,37,Arctoscopus japonicus,NA,NA,NA
187,37,Arctoscopus japonicus,NA,NA,NA
172,41,Arctoscopus japonicus,NA,NA,NA
200,47,Arctoscopus japonicus,NA,NA,NA
20,61,Arctoscopus japonicus,NA,NA,NA
21,61,Arctoscopus japonicus,NA,NA,NA
73,61,Arctoscopus japonicus,NA,NA,NA
163,61,Arctoscopus japonicus,NA,NA,NA
255,61,Arctoscopus japonicus,NA,NA,NA
272,61,Arctoscopus japonicus,NA,NA,NA
138,87,Arctoscopus japonicus,NA,NA,NA
224,87,Arctoscopus japonicus,NA,NA,NA
277,87,Arctoscopus japonicus,NA,NA,NA
73,61,Atheresthes evermanni,KMFLOUNBSAI,Kamchatka flounder Bering Sea and Aleutian Islands,Kamchatka flounder
163,61,Atheresthes evermanni,KMFLOUNBSAI,Kamchatka flounder Bering Sea and Aleutian Islands,Kamchatka flounder
73,67,Atheresthes evermanni,KMFLOUNBSAI,Kamchatka flounder Bering Sea and Aleutian Islands,Kamchatka flounder
163,67,Atheresthes evermanni,KMFLOUNBSAI,Kamchatka flounder Bering Sea and Aleutian Islands,Kamchatka flounder
218,18,Atheresthes evermanni,NA,NA,NA
223,27,Atheresthes evermanni,NA,NA,NA
14,61,Atheresthes evermanni,NA,NA,NA
20,61,Atheresthes evermanni,NA,NA,NA
21,61,Atheresthes evermanni,NA,NA,NA
209,61,Atheresthes evermanni,NA,NA,NA
210,61,Atheresthes evermanni,NA,NA,NA
255,61,Atheresthes evermanni,NA,NA,NA
272,61,Atheresthes evermanni,NA,NA,NA
218,67,Atheresthes evermanni,NA,NA,NA
25,71,Atheresthes evermanni,NA,NA,NA
216,71,Atheresthes evermanni,NA,NA,NA
73,NA,Atheresthes evermanni,NA,NA,NA
210,NA,Atheresthes evermanni,NA,NA,NA
16,57,Centroberyx affinis,REDFEAUS,Redfish Eastern Australia,Redfish
16,81,Centroberyx affinis,REDFEAUS,Redfish Eastern Australia,Redfish
210,61,Centroberyx affinis,NA,NA,NA
16,71,Centroberyx affinis,NA,NA,NA
3,81,Centroberyx affinis,NA,NA,NA
162,81,Centroberyx affinis,NA,NA,NA
276,81,Centroberyx affinis,NA,NA,NA
224,87,Centroberyx affinis,NA,NA,NA
224,87,Cervimunida johni,BSQLOBSTERCSCH,Yellow squat lobster Central-Southern Chile,Yellow squat lobster
224,87,Cervimunida johni,BSQLOBSTERNCH,Yellow squat lobster Northern Chile,Yellow squat lobster
20,61,Cervimunida johni,NA,NA,NA
73,61,Cervimunida johni,NA,NA,NA
209,61,Cervimunida johni,NA,NA,NA
210,61,Cervimunida johni,NA,NA,NA
210,61,Chionoecetes opilio,SNOWCRABESJ,Snow crab Sea of Japan East,Snow crab
20,61,Chionoecetes opilio,SNOWCRABNPAC,Snow crab North Pacific,Snow crab
21,61,Chionoecetes opilio,SNOWCRABNPAC,Snow crab North Pacific,Snow crab
73,61,Chionoecetes opilio,SNOWCRABNPAC,Snow crab North Pacific,Snow crab
210,61,Chionoecetes opilio,SNOWCRABNPAC,Snow crab North Pacific,Snow crab
210,61,Chionoecetes opilio,SNOWCRABWSJ,Snow crab Sea of Japan West,Snow crab
145,21,Chionoecetes opilio,NA,NA,NA
163,21,Chionoecetes opilio,NA,NA,NA
218,21,Chionoecetes opilio,NA,NA,NA
219,21,Chionoecetes opilio,NA,NA,NA
261,21,Chionoecetes opilio,NA,NA,NA
61,37,Chionoecetes opilio,NA,NA,NA
67,37,Chionoecetes opilio,NA,NA,NA
184,37,Chionoecetes opilio,NA,NA,NA
209,61,Chionoecetes opilio,NA,NA,NA
163,67,Chionoecetes opilio,NA,NA,NA
218,67,Chionoecetes opilio,NA,NA,NA
216,71,Chionoecetes opilio,NA,NA,NA
145,NA,Chionoecetes opilio,NA,NA,NA
163,NA,Chionoecetes opilio,NA,NA,NA
73,61,Cololabis saira,SAURNWPAC,Pacific saury Northwest Pacific,Pacific saury
210,61,Cololabis saira,SAURNWPAC,Pacific saury Northwest Pacific,Pacific saury
218,18,Cololabis saira,NA,NA,NA
143,27,Cololabis saira,NA,NA,NA
145,27,Cololabis saira,NA,NA,NA
180,27,Cololabis saira,NA,NA,NA
223,27,Cololabis saira,NA,NA,NA
171,41,Cololabis saira,NA,NA,NA
20,61,Cololabis saira,NA,NA,NA
21,61,Cololabis saira,NA,NA,NA
163,61,Cololabis saira,NA,NA,NA
255,61,Cololabis saira,NA,NA,NA
272,61,Cololabis saira,NA,NA,NA
73,67,Cololabis saira,NA,NA,NA
163,67,Cololabis saira,NA,NA,NA
218,67,Cololabis saira,NA,NA,NA
273,67,Cololabis saira,NA,NA,NA
216,71,Cololabis saira,NA,NA,NA
135,77,Cololabis saira,NA,NA,NA
275,77,Cololabis saira,NA,NA,NA
162,81,Cololabis saira,NA,NA,NA
73,NA,Cololabis saira,NA,NA,NA
210,NA,Cololabis saira,NA,NA,NA
141,27,Coryphaenoides rupestris,RNGENVb-VI-VII-XIIb,Roundnose grenadier Vb-VI-VII-XIIb,Roundnose grenadier
179,27,Coryphaenoides rupestris,RNGENVb-VI-VII-XIIb,Roundnose grenadier Vb-VI-VII-XIIb,Roundnose grenadier
180,27,Coryphaenoides rupestris,RNGENVb-VI-VII-XIIb,Roundnose grenadier Vb-VI-VII-XIIb,Roundnose grenadier
181,27,Coryphaenoides rupestris,RNGENVb-VI-VII-XIIb,Roundnose grenadier Vb-VI-VII-XIIb,Roundnose grenadier
218,18,Coryphaenoides rupestris,NA,NA,NA
145,21,Coryphaenoides rupestris,NA,NA,NA
163,21,Coryphaenoides rupestris,NA,NA,NA
218,21,Coryphaenoides rupestris,NA,NA,NA
219,21,Coryphaenoides rupestris,NA,NA,NA
261,21,Coryphaenoides rupestris,NA,NA,NA
55,27,Coryphaenoides rupestris,NA,NA,NA
69,27,Coryphaenoides rupestris,NA,NA,NA
73,27,Coryphaenoides rupestris,NA,NA,NA
143,27,Coryphaenoides rupestris,NA,NA,NA
145,27,Coryphaenoides rupestris,NA,NA,NA
174,27,Coryphaenoides rupestris,NA,NA,NA
175,27,Coryphaenoides rupestris,NA,NA,NA
182,27,Coryphaenoides rupestris,NA,NA,NA
183,27,Coryphaenoides rupestris,NA,NA,NA
222,27,Coryphaenoides rupestris,NA,NA,NA
223,27,Coryphaenoides rupestris,NA,NA,NA
227,27,Coryphaenoides rupestris,NA,NA,NA
262,27,Coryphaenoides rupestris,NA,NA,NA
95,41,Coryphaenoides rupestris,NA,NA,NA
171,41,Coryphaenoides rupestris,NA,NA,NA
172,41,Coryphaenoides rupestris,NA,NA,NA
101,47,Coryphaenoides rupestris,NA,NA,NA
200,47,Coryphaenoides rupestris,NA,NA,NA
162,81,Coryphaenoides rupestris,NA,NA,NA
218,NA,Coryphaenoides rupestris,NA,NA,NA
95,41,Dissostichus eleginoides,PTOOTHFISHCH,Patagonian Toothfish Chile,Patagonian toothfish
172,41,Dissostichus eleginoides,PTOOTHFISHCH,Patagonian Toothfish Chile,Patagonian toothfish
173,41,Dissostichus eleginoides,PTOOTHFISHCH,Patagonian Toothfish Chile,Patagonian toothfish
224,41,Dissostichus eleginoides,PTOOTHFISHCH,Patagonian Toothfish Chile,Patagonian toothfish
172,87,Dissostichus eleginoides,PTOOTHFISHCH,Patagonian Toothfish Chile,Patagonian toothfish
224,87,Dissostichus eleginoides,PTOOTHFISHCH,Patagonian Toothfish Chile,Patagonian toothfish
266,41,Dissostichus eleginoides,NA,NA,NA
88,47,Dissostichus eleginoides,NA,NA,NA
267,47,Dissostichus eleginoides,NA,NA,NA
89,48,Dissostichus eleginoides,NA,NA,NA
248100,48,Dissostichus eleginoides,NA,NA,NA
248200,48,Dissostichus eleginoides,NA,NA,NA
248300,48,Dissostichus eleginoides,NA,NA,NA
248500,48,Dissostichus eleginoides,NA,NA,NA
90,51,Dissostichus eleginoides,NA,NA,NA
269,51,Dissostichus eleginoides,NA,NA,NA
16,57,Dissostichus eleginoides,NA,NA,NA
270,57,Dissostichus eleginoides,NA,NA,NA
90,58,Dissostichus eleginoides,NA,NA,NA
91,58,Dissostichus eleginoides,NA,NA,NA
93,58,Dissostichus eleginoides,NA,NA,NA
94,58,Dissostichus eleginoides,NA,NA,NA
258431,58,Dissostichus eleginoides,NA,NA,NA
258432,58,Dissostichus eleginoides,NA,NA,NA
258441,58,Dissostichus eleginoides,NA,NA,NA
258442,58,Dissostichus eleginoides,NA,NA,NA
258510,58,Dissostichus eleginoides,NA,NA,NA
258520,58,Dissostichus eleginoides,NA,NA,NA
258600,58,Dissostichus eleginoides,NA,NA,NA
73,61,Dissostichus eleginoides,NA,NA,NA
210,61,Dissostichus eleginoides,NA,NA,NA
216,71,Dissostichus eleginoides,NA,NA,NA
4,81,Dissostichus eleginoides,NA,NA,NA
162,81,Dissostichus eleginoides,NA,NA,NA
276,81,Dissostichus eleginoides,NA,NA,NA
138,87,Dissostichus eleginoides,NA,NA,NA
277,87,Dissostichus eleginoides,NA,NA,NA
172,NA,Dissostichus eleginoides,NA,NA,NA
224,NA,Dissostichus eleginoides,NA,NA,NA
248100,NA,Dissostichus eleginoides,NA,NA,NA
61,37,Engraulis encrasicolus,ANCHMEDGSA16,Anchovy South of Sicily,Anchovy
68,37,Engraulis encrasicolus,ANCHMEDGSA16,Anchovy South of Sicily,Anchovy
