RAM_species,Watson_species
Bathyraja parmifera,NA
Caulolatilus microps,NA
Centroberyx gerrardi,NA
Chionoecetes bairdi,NA
Chrysophrys auratus,Pagrus auratus
Cleisthenes herzensteini,NA
Eopsetta grigorjewi,NA
Etrumeus teres,NA
Haliotis iris,NA
Hexagrammos decagrammus,NA
Istiompax indica,Makaira indica
Kajikia audax,Tetrapturus audax
Lepidopsetta polyxystra,NA
Lepidorhombus spp.,NA
Loligo reynaudii,NA
Merluccius gayi,Merluccius gayi gayi
Neoplatycephalus richardsoni,NA
Pagrus major,NA
Platycephalus conatus,NA
Sardinella spp,NA
Sardinops melanostictus,Sardinops sagax
Scomber colias,NA
Scorpaena guttata,NA
Sebastes aleutianus,NA
Sebastes auriculatus,NA
Sebastes aurora,NA
Sebastes caurinus,NA
Sebastes chlorostictus,NA
Sebastes crameri,NA
Sebastes diploproa,NA
Sebastes elongatus,NA
Sebastes fasciatus,NA
Sebastes levis,NA
Sebastes melanostomus,NA
Sebastes nebulosus,NA
Sebastes polyspinis,NA
Sebastes ruberrimus,NA
Sebastes spp,NA
Sebastes variabilis,NA
Sebastolobus altivelis,NA
Sebastolobus macrochir,NA
Seriola quinqueradiata,NA
Sphyrna tiburo,NA
Squalus suckleyi,Squalus acanthias
Takifugu rubripes,NA
Tanakius kitaharae,NA
Zearaja chilensis,NA
