outdated,stock1,stock2,stock3,stock4,stock5,stock6
ANCHMEDGSA17,ANCHMEDGSA17-18,,,,,
BLACKROCKNPCOAST,BLACKROCKCAL,BLACKROCKORECOAST,BLACKROCKWASH,,,
BLACKROCKSPCOAST,BLACKROCKCAL,BLACKROCKORECOAST,BLACKROCKWASH,,,
BSQLOBSTERCH,BSQLOBSTERCSCH,BSQLOBSTERNCH,,,,
COD4X,COD4X5Yb,,,,,
HADNS-IIIa,HADNS-IIIa-VIa,,,,,
HADVIa,HADNS-IIIa-VIa,,,,,
HERR2532,HERR2529-32,,,,,
MORWONGSE,MORWONGESE,MORWONGWSE,,,,
NEPHMEDGSA17,NEPHMEDGSA17-18,,,,,
NEPHMEDGSA18,NEPHMEDGSA17-18,,,,,
NSHRIMPCH,NSHRIMPCSCH,NSHRIMPNCH,,,,
OROUGHYCR,OROUGHYESCR,OROUGHYNWCR,,,,
PANCHCHVX,PANCHCCH,PANCHCSCH,PANCHNCHSP,,,
PANCHNCH,PANCHCCH,PANCHCSCH,PANCHNCHSP,,,
PANCHSCH,PANCHCCH,PANCHCSCH,PANCHNCHSP,,,
PANDAL2G-3K,PANDALSFA4,PANDALSFA5,PANDALSFA6,,,
PANDALICBC,PANDALSMA14,PANDALSMA16,PANDALSMA18-19,PANDALSMAFR,PANDALSMAGTSE,PANDALSMAPRD
PCEELCH,PCEELCSCH,PCEELSCH,,,,
PCODBSAI,PCODAI,PCODBS,,,,
PLAICIIIa,PLAICNS,,,,,
POLL4VWX5,POLL4VWX,,,,,
REDFISHSPP23K,ACADRED2J3K,ACADRED3LNO-UT12,ACADREDUT3,REDDEEP2J3K-3LNO,REDDEEPUT12,
RSHRMPMEDGSA10,RSHRMPMEDGSA9-11,,,,,
RSHRMPMEDGSA11,RSHRMPMEDGSA9-11,,,,,
RSHRMPMEDGSA18,RSHRMPMEDGSA17-19,,,,,
RSHRMPMEDGSA9,RSHRMPMEDGSA9-11,,,,,
RSQLOBSTERCH,RSQLOBSTERCSCH,RSQLOBSTERNCH,,,,
SARDMEDGSA17,SARDMEDGSA17-18,,,,,
SMSHRMPMEDGSA17,SMSHRMPMEDGSA17-18,,,,,
SNOWCRAB2HJ3KLNOP4R,SNOWCRAB2HJ,SNOWCRAB3K,SNOWCRAB3LNO,,,
SNOWCRAB2J,SNOWCRAB2HJ,,,,,
SNOWCRAB3NO,SNOWCRAB3LNO,,,,,
SSSHRIMPICBC,SSSHRIMPSMA14,SSSHRIMPSMA16,SSSHRIMPSMA18-19,SSSHRIMPSMAFR,SSHRIMPSMAGTSE,SSHRIMPSMAPRD
STMARLINNPAC,STMARLINNEPAC,STMARLINWCNPAC,,,,
YNOSESKACH,YNOSESKACSCH,YNOSESKASCH,,,,
