"rgn_id","fao_id","RAM_area_m2","stockid","stocklong","idtemp2"
8,71,NA,"BLSHARNPAC","Blue shark North Pacific",1
9,71,NA,"BLSHARNPAC","Blue shark North Pacific",2
11,71,NA,"BLSHARNPAC","Blue shark North Pacific",3
12,71,NA,"BLSHARNPAC","Blue shark North Pacific",4
12,61,NA,"BLSHARNPAC","Blue shark North Pacific",5
13,71,NA,"BLSHARNPAC","Blue shark North Pacific",6
13,61,NA,"BLSHARNPAC","Blue shark North Pacific",7
14,71,NA,"BLSHARNPAC","Blue shark North Pacific",8
14,61,NA,"BLSHARNPAC","Blue shark North Pacific",9
15,71,NA,"BLSHARNPAC","Blue shark North Pacific",10
15,61,NA,"BLSHARNPAC","Blue shark North Pacific",11
16,81,NA,"BGRDRNSWWA","Blue grenadier New South Wales to Western Australia",12
16,81,NA,"MORWONGESE","Jackass morwong Eastern half of Southeast Australia",13
16,81,NA,"REDFEAUS","Redfish Eastern Australia",14
16,57,NA,"BGRDRNSWWA","Blue grenadier New South Wales to Western Australia",15
16,57,NA,"MORWONGESE","Jackass morwong Eastern half of Southeast Australia",16
16,57,NA,"MORWONGWSE","Jackass morwong Western half of Southeast Australia",17
16,57,NA,"REDFEAUS","Redfish Eastern Australia",18
20,61,NA,"BMACKECS","Spotted mackerel East China Sea",19
20,61,NA,"CMACKTSST","Chub mackerel Tsushima Strait",20
20,61,NA,"JANCHOTSST","Japanese anchovy Tsushima Strait",21
20,61,NA,"JCSQUIDJPNAR","Japanese flying squid Japan Autumn recruitment",22
20,61,NA,"JCSQUIDJPNWR","Japanese flying squid Japan Winter recruitment",23
20,61,NA,"JMACKTSST","Japanese jack mackerel Tsushima Strait",24
20,61,NA,"OFLOUNECS","Japanese flounder East China Sea",25
20,61,NA,"PILCHTSST","Japanese sardine Tsushima Strait",26
20,61,NA,"RBRMECS","Red seabream East China Sea",27
20,61,NA,"RHERRTSST","Round herring Tsushima Strait",28
20,61,NA,"SNOWCRABNPAC","Snow crab North Pacific",29
20,61,NA,"WLFLOUNNPAC","Willowy flounder North Pacific",30
21,61,NA,"SNOWCRABNPAC","Snow crab North Pacific",31
25,71,NA,"BLSHARNPAC","Blue shark North Pacific",32
61,37,NA,"ANCHMEDGSA16","Anchovy South of Sicily",33
68,37,NA,"ANCHMEDGSA16","Anchovy South of Sicily",34
73,67,NA,"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands",35
73,67,NA,"BLSHARNPAC","Blue shark North Pacific",36
73,67,NA,"KMFLOUNBSAI","Kamchatka flounder Bering Sea and Aleutian Islands",37
73,67,NA,"PCODBS","Pacific cod Bering Sea",38
73,61,NA,"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands",39
73,61,NA,"BLSHARNPAC","Blue shark North Pacific",40
73,61,NA,"JANCHOPJPN","Japanese anchovy Pacific Coast of Japan",41
73,61,NA,"KMFLOUNBSAI","Kamchatka flounder Bering Sea and Aleutian Islands",42
73,61,NA,"PCODBS","Pacific cod Bering Sea",43
73,61,NA,"PILCHPJPN","Japanese sardine Pacific Coast of Japan",44
73,61,NA,"SAURNWPAC","Pacific saury Northwest Pacific",45
73,61,NA,"SNOWCRABNPAC","Snow crab North Pacific",46
95,41,NA,"PTOOTHFISHCH","Patagonian Toothfish Chile",47
102,47,NA,"SAABALONESA","Abalone South Africa",48
129,77,NA,"BLSHARNPAC","Blue shark North Pacific",49
129,87,NA,"BLSHARNPAC","Blue shark North Pacific",50
130,77,NA,"BLSHARNPAC","Blue shark North Pacific",51
130,87,NA,"BLSHARNPAC","Blue shark North Pacific",52
131,77,NA,"BLSHARNPAC","Blue shark North Pacific",53
134,77,NA,"BLSHARNPAC","Blue shark North Pacific",54
135,77,NA,"BLSHARNPAC","Blue shark North Pacific",55
136,77,NA,"BLSHARNPAC","Blue shark North Pacific",56
141,27,NA,"GHALV-VI-XII-XIV","Greenland halibut V-VI-XII-XIV",57
141,27,NA,"RNGENVb-VI-VII-XIIb","Roundnose grenadier Vb-VI-VII-XIIb",58
143,27,NA,"GHALV-VI-XII-XIV","Greenland halibut V-VI-XII-XIV",59
145,27,NA,"GHALV-VI-XII-XIV","Greenland halibut V-VI-XII-XIV",60
150,77,NA,"BLSHARNPAC","Blue shark North Pacific",61
159,77,NA,"BLSHARNPAC","Blue shark North Pacific",62
163,31,NA,"BLTILESATLC","Blueline tilefish Southern Atlantic coast",63
163,31,NA,"BRNSHRIMPGM","Brown shrimp Gulf of Mexico",64
163,31,NA,"COBGM","Cobia Gulf of Mexico",65
163,31,NA,"COBSATLC","Cobia Southern Atlantic coast",66
163,31,NA,"PINKSHRIMPGM","Pink shrimp Gulf of Mexico",67
163,31,NA,"WSHRIMPGM","White shrimp Gulf of Mexico",68
163,67,NA,"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands",69
163,67,NA,"AUROCKPCOAST","Aurora rockfish Pacific Coast",70
163,67,NA,"BLACKROCKCAL","Black rockfish California",71
163,67,NA,"BLACKROCKORECOAST","Black rockfish Oregon",72
163,67,NA,"BLACKROCKWASH","Black rockfish Washington",73
163,67,NA,"BLSHARNPAC","Blue shark North Pacific",74
163,67,NA,"BRNROCKPCOAST","Brown rockfish Pacific Coast",75
163,67,NA,"CHROCKCPCOAST","China rockfish Central Pacific Coast",76
163,67,NA,"CHROCKNPCOAST","China rockfish Northern Pacific Coast",77
163,67,NA,"CPRROCKPCOAST","Copper rockfish Pacific Coast",78
163,67,NA,"KMFLOUNBSAI","Kamchatka flounder Bering Sea and Aleutian Islands",79
163,67,NA,"PCODBS","Pacific cod Bering Sea",80
163,77,NA,"AUROCKPCOAST","Aurora rockfish Pacific Coast",81
163,77,NA,"BLACKROCKCAL","Black rockfish California",82
163,77,NA,"BLSHARNPAC","Blue shark North Pacific",83
163,77,NA,"BRNROCKPCOAST","Brown rockfish Pacific Coast",84
163,77,NA,"CHROCKCPCOAST","China rockfish Central Pacific Coast",85
163,77,NA,"CHROCKSPCOAST","China rockfish Southern Pacific Coast",86
163,77,NA,"CPRROCKPCOAST","Copper rockfish Pacific Coast",87
163,61,NA,"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands",88
163,61,NA,"BLSHARNPAC","Blue shark North Pacific",89
163,61,NA,"KMFLOUNBSAI","Kamchatka flounder Bering Sea and Aleutian Islands",90
163,61,NA,"NRSOLEGA","Northern rock sole Gulf of Alaska",91
163,61,NA,"PCODBS","Pacific cod Bering Sea",92
163,61,NA,"RSOLEGA","Rock sole Gulf of Alaska",93
163,21,NA,"BLTILESATLC","Blueline tilefish Southern Atlantic coast",94
163,21,NA,"COBSATLC","Cobia Southern Atlantic coast",95
163,21,NA,"HADGB","Haddock Georges Bank",96
163,21,NA,"MONKGOMNGB","Monkfish Gulf of Maine / Northern Georges Bank",97
163,21,NA,"MONKSGBMATL","Monkfish Southern Georges Bank / Mid-Atlantic",98
163,21,NA,"QUAHATLC","Ocean quahog Atlantic Coast",99
163,21,NA,"SDOGATLC","Spiny dogfish Atlantic Coast",100
163,21,NA,"YELLGB","Yellowtail flounder Georges Bank",101
171,41,NA,"ARGHAKENARG","Argentine hake Northern Argentina",102
172,41,NA,"ACMACKSARG","Argentine chub mackerel Southern Argentina",103
172,41,NA,"ARGHAKENARG","Argentine hake Northern Argentina",104
172,41,NA,"ARGHAKESARG","Argentine hake Southern Argentina",105
172,41,NA,"PTOOTHFISHCH","Patagonian Toothfish Chile",106
172,41,NA,"SBWHITCH","Southern blue whiting Chile",107
172,41,NA,"SOUTHHAKECH","Southern hake Chile",108
