"stockid","stocklong"
"ANCHMEDGSA6","Anchovy Northern Spain"
"ANCHOBAYB","Anchovy ICES VIII"
"ARGANCHONARG","Argentine anchoita Northern Argentina"
"ARGANCHOSARG","Argentine anchoita Southern Argentina"
"BLINGVb-VI-VII","Blue ling Vb-VI-VII"
"BWHITNEA","Blue Whiting Northeast Atlantic"
"COD3Ps","Atlantic cod NAFO 3Ps"
"CODBA2224","Atlantic cod Baltic Areas 22 and 24"
"CODBA2532","Atlantic cod Baltic Areas 25-32"
"CODFAPL","Atlantic cod Faroe Plateau"
"CODICE","Atlantic cod Iceland"
"CODIIIaW-IV-VIId","Atlantic cod IIIa (west) and IV-VIId"
"CODIS","Atlantic cod Irish Sea"
"CODNEAR","Atlantic cod Northeast Arctic"
"CODNEARNCW","Atlantic cod Northeast Arctic (Norwegian coastal waters)"
"CODVIa","Atlantic cod West of Scotland"
"CODVIIek","Atlantic Cod Celtic Sea"
"CRLOBSTERSA12","West coast rock lobster South Africa Areas 1-2"
"CRLOBSTERSA34","West coast rock lobster South Africa Areas 3-4"
"CRLOBSTERSA56","West coast rock lobster South Africa Areas 5-6"
"CRLOBSTERSA7","West coast rock lobster South Africa Area 7"
"CRLOBSTERSA8","West coast rock lobster South Africa Area 8"
"DOYSFS","Dredge oyster Foveax Strait"
"EBASSIVbc-VII","European seabass IVbc and VII"
"FMEG8c9a","Fourspotted megrim ICES VIIIc-IXa"
"GOLDREDV-VI-XII-XIV","Golden Redfish V-VI-XII-XIV"
"HADFAPL","Haddock Faroe Plateau"
"HADICE","Haddock Iceland"
"HADNEAR","Haddock Northeast Arctic"
"HADNS-IIIa-VIa","Haddock North Sea and IIIa-VIa"
"HADROCK","Haddock Rockall Bank"
"HADVIIb-k","Haddock ICES VIIb-k"
"HAKENRTN","Hake Northeast Atlantic North"
"HAKESOTH","Hake Northeast Atlantic South"
"HERR2224IIIa","Herring ICES 22-24-IIIa"
"HERR2529-32","Herring Subdivisions 25-29 and 32"
"HERR30","Herring ICES 30"
"HERRIsum","Herring Iceland (Summer spawners)"
"HERRNIRS","Herring Northern Irish Sea"
"HERRNORSS","Norwegian Spring Spawning Herring"
"HERRNS-IIIa-VIId","Herring IIIa, VIId and North Sea"
"HERRRIGA","Herring ICES 28"
"HERRSIRS","Herring ICES VIIa-g-h-j"
"HERRVIa","Herring ICES VIa"
"HERRVIaVIIbc","Herring ICES VIa-VIIb-VIIc"
"HMACKIIa-IVa-Vb-VIa-VII-VIII","Horse mackerel IIa-IVa-Vb-VIa-VII-VIII"
"HMACKIXa","Horse mackerel Portugese Waters -East"
"LINGVa","Ling Iceland Grounds"
"MEG8c9a","Megrim ICES VIIIc-IXa"
"MEGVII-VIIIabd","Megrim VII-VIIIabd"
"MENATGM","Gulf menhaden Gulf of Mexico"
"MENATLAN","Atlantic menhaden Atlantic"
"NEPHFU14","Norway lobster Irish Sea East (FU 14)"
"NEPHMEDGSA17-18","Norway lobster Adriatic Sea"
"NPOUTIIIa-IV","Norway pout IIIa and North Sea"
"NSHRIMPCSCH","Nylon shrimp Central-Southern Chile"
"NSHRIMPNCH","Nylon shrimp Northern Chile"
"PANCHCCH","Peruvian Anchoveta Central Chile"
"PANCHCSCH","Peruvian Anchoveta Central-Southern Chile"
"PANCHNCHSP","Peruvian Anchoveta Northern Chile Southern Peru"
"PANDALIIIaW-IVaE","Northern shrimp IIIa (west) and IVa (east)"
"PCEELARGS","Pink Cusk-eel Southern Argentina"
"PCODHS","Pacific cod Hecate Strait"
"PLAIC2123","European Plaice Subdivisions 21-23"
"PLAIC7d","European Plaice ICES VIId"
"PLAICECHW","European Plaice ICES VIIe"
"PLAICNS","European Plaice North Sea"
"POLLFAPL","Pollock Faroe Plateau"
"POLLIEG","Pollock Iceland Grounds"
"POLLNEAR","Pollock Northeast Arctic"
"POLLNS-VI-IIIa","Pollock ICES IIIa, VI and North Sea"
"SARDPVIIIc-IXa","European pilchard ICES VIIIc-IXa"
"SBWHITARGS","Southern blue whiting Southern Argentina"
"SCALLGB","Sea scallop Georges Bank"
"SEELNSSA1","Sand eel SA 1"
"SEELNSSA2","Sand eel SA 2"
"SEELNSSA3","Sand eel SA 3"
"SOLECS","Common sole Celtic Sea"
"SOLEIIIa-2224","Common sole 22-24-IIIa"
"SOLEIS","Common sole Irish Sea"
"SOLENS","Common sole North Sea"
"SOLEVIId","Common sole ICES VIId"
"SOLEVIIe","Common sole Western English Channel"
"SOLEVIIIab","Common sole VIIIab"
"SPRAT22-32","Sprat ICES Baltic Areas 22-32"
"SPRATNS","Sprat North Sea"
"SPURDNEATL","Spurdog Northeast Atlantic"
"SSLOBSTERSASC","Southern spiny lobster South Africa South coast"
"STRIPEDBASSGOMCHATT","Striped bass Gulf of Maine / Cape Hatteras"
"WANGLVIIIc-IXa","White anglerfish VIIIc-IXa"
"WHITNS-VIId","Whiting NS-VIId"
"WHITVIa","Whiting ICES VIa"
"WHITVIIek","Whiting ICES VIIe-k"
"WPOLLNAVAR","Walleye Pollock Navarinsky"
"WPOLLNSO","Walleye pollock Northern Sea of Okhotsk"
"WPOLLWBS","Walleye pollock Western Bering Sea"
