stockid,stocklong
BLINGVb-VI-VII,Blue ling Vb-VI-VII
CAPEIIa-V-XIV,Capelin IIa-V-XIV
COD1IN,Atlantic cod NAFO Subarea 1 (inshore)
CODIf-XIV,Atlantic cod ICES If-XIV
CODIIIaW-IV-VIId,Atlantic cod IIIa (west) and IV-VIId
CODNEARNCW,Atlantic cod Northeast Arctic (Norwegian coastal waters)
CUSKVa-XIV,Tusk Va and XIV
EBASSIVbc-VII,European seabass IVbc and VII
GOLDREDV-VI-XII-XIV,Golden Redfish V-VI-XII-XIV
HADNS-IIIa-VIa,Haddock North Sea and IIIa-VIa
HERR2529-32,Herring Subdivisions 25-29 and 32
HERR30-31,Herring Subdivisions 30-31
HERRNS-IIIa-VIId,"Herring IIIa, VIId and North Sea"
HMACKIIa-IVa-Vb-VIa-VII-VIII,Horse mackerel IIa-IVa-Vb-VIa-VII-VIII
HMACKIXa,Horse mackerel Portugese Waters -East
LINGVa,Ling Iceland Grounds
MEGVII-VIIIabd,Megrim VII-VIIIabd
NEPHFU14,Norway lobster Irish Sea East (FU 14)
NEPHFU17,Norway lobster Aran Grounds (FU 17)
NEPHFU7,Norway lobster Fladen Ground (FU 7)
NEPHMEDGSA17-18,Norway lobster Adriatic Sea
NPOUTIIIa-IV,Norway pout IIIa and North Sea
NSHRIMPCSCH,Nylon shrimp Central-Southern Chile
NSHRIMPNCH,Nylon shrimp Northern Chile
PANCHCCH,Peruvian Anchoveta Central Chile
PANCHCSCH,Peruvian Anchoveta Central-Southern Chile
PANCHNCHSP,Peruvian Anchoveta Northern Chile Southern Peru
PCEELARGS,Pink Cusk-eel Southern Argentina
PLAIC2123,European Plaice Subdivisions 21-23
REDDEEPDP-1-2-V-XII-XIV,Beaked Redfish Areas V-XII-XIV and NAFO Subareas 1-2 (deep)
SEELNSSA4,Sand eel Sandeel Area 4
SOLEIIIa-2224,Common sole 22-24-IIIa
SOLEVIIIab,Common sole VIIIab
SPURDNEATL,Spurdog Northeast Atlantic
WANGLVII-VIIIabd,White anglerfish VII and VIIIabd
WANGLVIIIc-IXa,White anglerfish VIIIc-IXa
WHITVIIa,Whiting Irish Sea
