scientificname,rgn_id,fao_id,RAM_area_m2,stockid,stocklong
Ammodytes spp,59,27,3453427228.3195977,SEELNSSA1,Sand eel SA 1
Ammodytes spp,59,27,3453427228.3195977,SEELNSSA2,Sand eel SA 2
Ammodytes spp,59,27,3453427228.3195977,SEELNSSA3,Sand eel SA 3
Ammodytes spp,141,27,2330112693.33667,SEELNSSA1,Sand eel SA 1
Ammodytes spp,141,27,2330112693.33667,SEELNSSA2,Sand eel SA 2
Ammodytes spp,141,27,2330112693.33667,SEELNSSA3,Sand eel SA 3
Ammodytes spp,175,27,48335089508.50521,SEELNSSA1,Sand eel SA 1
Ammodytes spp,175,27,48335089508.50521,SEELNSSA2,Sand eel SA 2
Ammodytes spp,175,27,48335089508.50521,SEELNSSA3,Sand eel SA 3
Ammodytes spp,176,27,40743508378.634125,SEELNSSA1,Sand eel SA 1
Ammodytes spp,176,27,40743508378.634125,SEELNSSA2,Sand eel SA 2
Ammodytes spp,176,27,40743508378.634125,SEELNSSA3,Sand eel SA 3
Ammodytes spp,177,27,63404122230.512726,SEELNSSA1,Sand eel SA 1
Ammodytes spp,177,27,63404122230.512726,SEELNSSA2,Sand eel SA 2
Ammodytes spp,177,27,63404122230.512726,SEELNSSA3,Sand eel SA 3
Ammodytes spp,179,27,1875053389.0311778,SEELNSSA1,Sand eel SA 1
Ammodytes spp,179,27,1875053389.0311778,SEELNSSA2,Sand eel SA 2
Ammodytes spp,179,27,1875053389.0311778,SEELNSSA3,Sand eel SA 3
Ammodytes spp,180,27,306922323725.0628,SEELNSSA1,Sand eel SA 1
Ammodytes spp,180,27,306922323725.0628,SEELNSSA2,Sand eel SA 2
Ammodytes spp,180,27,306922323725.0628,SEELNSSA3,Sand eel SA 3
Ammodytes spp,223,27,137277162468.65097,SEELNSSA1,Sand eel SA 1
Ammodytes spp,223,27,137277162468.65097,SEELNSSA2,Sand eel SA 2
Ammodytes spp,223,27,137277162468.65097,SEELNSSA3,Sand eel SA 3
Ammodytes spp,NA,NA,NA,SEELNSSA4,Sand eel Sandeel Area 4
Bathyraja parmifera,73,67,NA,ALSKABSAI,Alaska skate Bering Sea and Aleutian Islands
Bathyraja parmifera,73,61,NA,ALSKABSAI,Alaska skate Bering Sea and Aleutian Islands
Bathyraja parmifera,163,67,NA,ALSKABSAI,Alaska skate Bering Sea and Aleutian Islands
