"rgn_id","fao_id","scientificname","stock_id","stockid","stocklong","commonname","idtemp2"
175,27,"Capros aper","Capros_aper-27","BOARVI-VIII","Boarfish VI and VIII","Boarfish",6
180,27,"Capros aper","Capros_aper-27","BOARVI-VIII","Boarfish VI and VIII","Boarfish",8
181,27,"Capros aper","Capros_aper-27","BOARVI-VIII","Boarfish VI and VIII","Boarfish",10
145,21,"Capros aper","Capros_aper-21",NA,NA,NA,NA
218,21,"Capros aper","Capros_aper-21",NA,NA,NA,NA
261,21,"Capros aper","Capros_aper-21",NA,NA,NA,NA
141,27,"Capros aper","Capros_aper-27",NA,NA,NA,NA
176,27,"Capros aper","Capros_aper-27",NA,NA,NA,NA
177,27,"Capros aper","Capros_aper-27",NA,NA,NA,NA
179,27,"Capros aper","Capros_aper-27",NA,NA,NA,NA
182,27,"Capros aper","Capros_aper-27",NA,NA,NA,NA
183,27,"Capros aper","Capros_aper-27",NA,NA,NA,NA
223,27,"Capros aper","Capros_aper-27",NA,NA,NA,NA
227,27,"Capros aper","Capros_aper-27",NA,NA,NA,NA
228,27,"Capros aper","Capros_aper-27",NA,NA,NA,NA
63,34,"Capros aper","Capros_aper-34",NA,NA,NA,NA
64,34,"Capros aper","Capros_aper-34",NA,NA,NA,NA
65,34,"Capros aper","Capros_aper-34",NA,NA,NA,NA
66,34,"Capros aper","Capros_aper-34",NA,NA,NA,NA
255,34,"Capros aper","Capros_aper-34",NA,NA,NA,NA
76,37,"Capros aper","Capros_aper-37",NA,NA,NA,NA
80,37,"Capros aper","Capros_aper-37",NA,NA,NA,NA
162,81,"Hoplostethus atlanticus","Hoplostethus_atlanticus-81","OROUGHYNWCR","Orange roughy Northwest Chatham Rise","Orange roughy",4
145,18,"Hoplostethus atlanticus","Hoplostethus_atlanticus-18",NA,NA,NA,NA
218,18,"Hoplostethus atlanticus","Hoplostethus_atlanticus-18",NA,NA,NA,NA
145,21,"Hoplostethus atlanticus","Hoplostethus_atlanticus-21",NA,NA,NA,NA
218,21,"Hoplostethus atlanticus","Hoplostethus_atlanticus-21",NA,NA,NA,NA
55,27,"Hoplostethus atlanticus","Hoplostethus_atlanticus-27",NA,NA,NA,NA
141,27,"Hoplostethus atlanticus","Hoplostethus_atlanticus-27",NA,NA,NA,NA
143,27,"Hoplostethus atlanticus","Hoplostethus_atlanticus-27",NA,NA,NA,NA
144,27,"Hoplostethus atlanticus","Hoplostethus_atlanticus-27",NA,NA,NA,NA
145,27,"Hoplostethus atlanticus","Hoplostethus_atlanticus-27",NA,NA,NA,NA
179,27,"Hoplostethus atlanticus","Hoplostethus_atlanticus-27",NA,NA,NA,NA
180,27,"Hoplostethus atlanticus","Hoplostethus_atlanticus-27",NA,NA,NA,NA
181,27,"Hoplostethus atlanticus","Hoplostethus_atlanticus-27",NA,NA,NA,NA
182,27,"Hoplostethus atlanticus","Hoplostethus_atlanticus-27",NA,NA,NA,NA
183,27,"Hoplostethus atlanticus","Hoplostethus_atlanticus-27",NA,NA,NA,NA
227,27,"Hoplostethus atlanticus","Hoplostethus_atlanticus-27",NA,NA,NA,NA
262,27,"Hoplostethus atlanticus","Hoplostethus_atlanticus-27",NA,NA,NA,NA
101,47,"Hoplostethus atlanticus","Hoplostethus_atlanticus-47",NA,NA,NA,NA
102,47,"Hoplostethus atlanticus","Hoplostethus_atlanticus-47",NA,NA,NA,NA
199,47,"Hoplostethus atlanticus","Hoplostethus_atlanticus-47",NA,NA,NA,NA
200,47,"Hoplostethus atlanticus","Hoplostethus_atlanticus-47",NA,NA,NA,NA
