"rgn_id","fao_id","RAM_area_m2","stockid","stocklong"
1,57,22190928462.6834,"SBT","Southern bluefin tuna Southern Oceans"
1,57,467246138625.77,"ALBAIO","Albacore tuna Indian Ocean"
1,57,467246138625.77,"BIGEYEIO","Bigeye tuna Indian Ocean"
1,57,467246138625.77,"BLKMARLINIO","Black marlin Indian Ocean"
1,57,467246138625.77,"BMARLINIO","Indo-Pacific blue marlin Indian Ocean"
1,57,467246138625.77,"SKJCIO","Skipjack tuna Indian Ocean"
1,57,467246138625.77,"STMARLINIO","Striped marlin Indian Ocean"
1,57,467246138625.77,"SWORDIO","Swordfish Indian Ocean"
1,57,467246138625.77,"YFINEIO","Yellowfin tuna Indian Ocean"
2,57,328011203705.914,"SBT","Southern bluefin tuna Southern Oceans"
2,57,328011203705.913,"ALBAIO","Albacore tuna Indian Ocean"
2,57,328011203705.913,"BIGEYEIO","Bigeye tuna Indian Ocean"
2,57,328011203705.913,"BLKMARLINIO","Black marlin Indian Ocean"
2,57,328011203705.913,"BMARLINIO","Indo-Pacific blue marlin Indian Ocean"
2,57,328011203705.913,"SKJCIO","Skipjack tuna Indian Ocean"
2,57,328011203705.913,"STMARLINIO","Striped marlin Indian Ocean"
2,57,328011203705.913,"SWORDIO","Swordfish Indian Ocean"
2,57,328011203705.913,"YFINEIO","Yellowfin tuna Indian Ocean"
3,81,281680898018.648,"SBT","Southern bluefin tuna Southern Oceans"
3,81,431061968629.372,"BMARLINPAC","Blue marlin Pacific Ocean"
3,81,431061968629.372,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
3,81,144076460.955267,"HOKIWNZ","Hoki Western New Zealand"
3,81,144076860.94413,"BNSNZ","Bluenose New Zealand"
3,81,144076460.957323,"NZSNAPNZ8","New Zealand snapper New Zealand Area 8"
3,81,144076460.957323,"GEMFISHNZ","common gemfish New Zealand"
3,81,431061968629.372,"ALBASPAC","Albacore tuna South Pacific Ocean"
3,81,431061968629.372,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
3,81,431061968629.372,"STMARLINSWPO","Striped marlin Southwestern Pacific Ocean"
3,81,431061968629.372,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
4,81,31989999751.6262,"SBT","Southern bluefin tuna Southern Oceans"
4,81,475571900214.58,"PTOOTHFISHMI","Patagonian toothfish Macquarie Island"
5,71,1275668266305.09,"BMARLINPAC","Blue marlin Pacific Ocean"
5,71,1275668266305.09,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
5,71,1275668266305.09,"ALBASPAC","Albacore tuna South Pacific Ocean"
5,71,1275668266305.09,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
5,71,562826160246.273,"SKJCWPAC","Skipjack tuna Central Western Pacific"
5,71,1275668266305.09,"STMARLINSWPO","Striped marlin Southwestern Pacific Ocean"
5,71,1275668266305.09,"YFINCWPAC","Yellowfin tuna Central Western Pacific"
5,81,93728142960.2898,"BMARLINPAC","Blue marlin Pacific Ocean"
5,81,93728142960.2898,"PACBTUNA","Pacific bluefin tuna Pacific Ocean"
5,81,93728142960.2898,"ALBASPAC","Albacore tuna South Pacific Ocean"
5,81,93728142960.2898,"BIGEYECWPAC","Bigeye tuna Central Western Pacific"
5,81,93728142960.2898,"STMARLINSWPO","Striped marlin Southwestern Pacific Ocean"
