rgn_id,fao_id,stockid,stocklong,idtemp2
143,27,PANDALI-II,Northern shrimp North-East Arctic,1
145,27,PANDALI-II,Northern shrimp North-East Arctic,2
145,21,PANDALI-II,Northern shrimp North-East Arctic,3
162,81,OROUGHYNWCR,Orange roughy Northwest Chatham Rise,4
163,21,PANDALI-II,Northern shrimp North-East Arctic,5
175,27,BOARVI-VIII,Boarfish VI and VIII,6
175,27,PANDALI-II,Northern shrimp North-East Arctic,7
180,27,BOARVI-VIII,Boarfish VI and VIII,8
180,27,PLAICCELT,European Plaice ICES VIIf-g,9
181,27,BOARVI-VIII,Boarfish VI and VIII,10
181,27,PLAICCELT,European Plaice ICES VIIf-g,11
218,67,PERCHQCI,Pacific Ocean perch Haida Gwaii,12
218,21,PANDALI-II,Northern shrimp North-East Arctic,13
223,27,PANDALI-II,Northern shrimp North-East Arctic,14
176,27,BOARVI-VIII,Boarfish VI and VIII,
177,27,BOARVI-VIII,Boarfish VI and VIII,
179,27,BOARVI-VIII,Boarfish VI and VIII,
182,27,BOARVI-VIII,Boarfish VI and VIII,
183,27,BOARVI-VIII,Boarfish VI and VIII,
223,27,BOARVI-VIII,Boarfish VI and VIII,
227,27,BOARVI-VIII,Boarfish VI and VIII,
228,27,BOARVI-VIII,Boarfish VI and VIII,
144,27,PANDALI-II,Northern shrimp North-East Arctic,
219,21,PANDALI-II,Northern shrimp North-East Arctic,
55,27,PLAICCELT,European Plaice ICES VIIf-g,
59,27,PLAICCELT,European Plaice ICES VIIf-g,
143,27,PLAICCELT,European Plaice ICES VIIf-g,
175,27,PLAICCELT,European Plaice ICES VIIf-g,
176,27,PLAICCELT,European Plaice ICES VIIf-g,
177,27,PLAICCELT,European Plaice ICES VIIf-g,
178,27,PLAICCELT,European Plaice ICES VIIf-g,
179,27,PLAICCELT,European Plaice ICES VIIf-g,
222,27,PLAICCELT,European Plaice ICES VIIf-g,
223,27,PLAICCELT,European Plaice ICES VIIf-g,
227,27,PLAICCELT,European Plaice ICES VIIf-g,
228,27,PLAICCELT,European Plaice ICES VIIf-g,
