rgn_id,fao_id,RAM_area_m2,stockid,stocklong
190,27,NA,BLINGVb-VI-VII,Blue ling Vb-VI-VII
181,27,NA,BLINGVb-VI-VII,Blue ling Vb-VI-VII
179,27,NA,BLINGVb-VI-VII,Blue ling Vb-VI-VII
143,27,NA,CAPEIIa-V-XIV,Capelin IIa-V-XIV
145,27,NA,COD1IN,Atlantic cod NAFO Subarea 1 (inshore)
145,27,NA,CODIf-XIV,Atlantic cod ICES If-XIV
143,27,NA,CODIf-XIV,Atlantic cod ICES If-XIV
175,27,NA,CODIIIaW-IV-VIId,Atlantic cod IIIa (west) and IV-VIId
180,27,NA,CODIIIaW-IV-VIId,Atlantic cod IIIa (west) and IV-VIId
223,27,NA,CODIIIaW-IV-VIId,Atlantic cod IIIa (west) and IV-VIId
223,27,NA,CODNEARNCW,Atlantic cod Northeast Arctic (Norwegian coastal waters)
143,27,NA,CUSKVa-XIV,Tusk Va and XIV
145,27,NA,CUSKVa-XIV,Tusk Va and XIV
180,27,NA,EBASSIVbc-VII,European seabass IVbc and VII
177,27,NA,EBASSIVbc-VII,European seabass IVbc and VII
143,27,NA,GOLDREDV-VI-XII-XIV,Golden Redfish V-VI-XII-XIV
179,27,NA,HADNS-IIIa-VIa,Haddock North Sea and IIIa-VIa
176,27,NA,HADNS-IIIa-VIa,Haddock North Sea and IIIa-VIa
145,27,NA,HADNS-IIIa-VIa,Haddock North Sea and IIIa-VIa
143,27,NA,HADNS-IIIa-VIa,Haddock North Sea and IIIa-VIa
223,27,NA,HADNS-IIIa-VIa,Haddock North Sea and IIIa-VIa
73,27,NA,HADNS-IIIa-VIa,Haddock North Sea and IIIa-VIa
70,27,NA,HERR2529-32,Herring Subdivisions 25-29 and 32
69,27,NA,HERR2529-33,Herring Subdivisions 25-29 and 33
189,27,NA,HERR2529-34,Herring Subdivisions 25-29 and 34
178,27,NA,HERR2529-35,Herring Subdivisions 25-29 and 35
22,27,NA,HERR2529-36,Herring Subdivisions 25-29 and 36
73,27,NA,HERR2529-37,Herring Subdivisions 25-29 and 37
222,27,NA,HERR30-31,Herring Subdivisions 30-31
174,27,NA,HERR30-32,Herring Subdivisions 30-32
175,27,NA,HERRNS-IIIa-VIId,"Herring IIIa, VIId and North Sea"
179,27,NA,HERRNS-IIIa-VIId,"Herring IIIa, VIId and North Sea"
176,27,NA,HERRNS-IIIa-VIId,"Herring IIIa, VIId and North Sea"
181,27,NA,HERRNS-IIIa-VIId,"Herring IIIa, VIId and North Sea"
189,27,NA,HERRNS-IIIa-VIId,"Herring IIIa, VIId and North Sea"
