"rgn_id","fao_id","assessid","RAM_area_m2"
57,"27","WGNPBW-BWHITNEA-1980-2012-CHING",11877658102.4191
59,"27","HAWG-SPRATNS-1995-2007-MINTO",3453427228.3196
59,"27","WGHMM-HAKENRTN-1961-2011-CHING",3453443687.97969
59,"27","WGMHSA-MACKNEICES-1972-2007-JENNINGS",3453443687.97969
59,"27","WGNPBW-BWHITNEA-1980-2012-CHING",3453443687.97969
59,"27","WGNSSK-PLAICNS-1956-2010-NEUBAUER",3453427228.3196
59,"27","WGNSSK-POLLNS-VI-IIIa-1964-2012-CHING",3453427227.70357
59,"27","WGNSSK-SEELNSSA1-1983-2011-NEUBAUER",3453427228.3196
59,"27","WGNSSK-SEELNSSA2-1983-2011-NEUBAUER",3453427228.3196
59,"27","WGNSSK-SEELNSSA3-1983-2011-NEUBAUER",3453427228.3196
59,"27","WGNSSK-SOLENS-1956-2010-NEUBAUER",3453427228.3196
59,"27","WGNSSK-WHITNS-VIId-1989-2012-CHING",3453443687.97969
69,"27","WGBFAS-CODBA2532-1966-2012-CHING",28809595048.6252
69,"27","WGBFAS-SPRAT22-32-1973-2011-NEUBAUER",28809553403.5604
70,"27","WGBFAS-CODBA2532-1966-2012-CHING",35526361613.4362
70,"27","WGBFAS-SPRAT22-32-1973-2011-NEUBAUER",35526361613.4362
73,"27","AFWG-CODNEAR-1946-2011-CHING",1258241043324.02
73,"27","AFWG-HADNEAR-1947-2012-CHING",1258241043324.02
73,"27","AFWG-POLLNEAR-1957-2012-CHING",1258241043324.02
73,"27","WGBFAS-CODBA2532-1966-2012-CHING",22783654104.812
73,"27","WGBFAS-SPRAT22-32-1973-2011-NEUBAUER",22783654104.812
73,"27","WGNPBW-BWHITNEA-1980-2012-CHING",1258241143449.68
73,"61","VNIRO-WPOLLWBS-1970-2008-CHING",461167090615.867
84,"37","STECF-ANCHMEDGSA6-2002-2009-OSIO",794481901.852448
95,"41","INIDEP-SBWHITARGS-1985-2007-Parma",1139991237.1936
102,"47","MARAM-SSLOBSTERSASC-1973-2014-Johnston",231290767849.232
110,"31","NMFS-MENATLAN-1940-2005-STANTON",1645190519.38466
135,"31","SEFSC-MENATGM-1948-2011-HIVELY",836109727.772348
138,"87","IFOP-SSARDCH-2006-2012-CHING",764021137.736977
141,"27","AFWG-CODNEAR-1946-2011-CHING",113171030466.874
141,"27","AFWG-HADNEAR-1947-2012-CHING",113171030466.874
141,"27","AFWG-POLLNEAR-1957-2012-CHING",113171030466.874
141,"27","HAWG-HERRVIa-1956-2010-NEUBAUER",551582394.423553
141,"27","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER",551582394.423737
141,"27","HAWG-SPRATNS-1995-2007-MINTO",2330112693.33667
141,"27","NWWG-CODFAPL-1959-2012-CHING",130244175046.41
141,"27","NWWG-CODICE-1952-2012-CHING",285239709.049866
141,"27","NWWG-HADFAPL-1955-2012-CHING",130244175046.41
141,"27","NWWG-HADICE-1977-2012-CHING",285239709.049866
141,"27","NWWG-HERRIsum-1984-2011-NEUBAUER",285239709.049866
141,"27","NWWG-POLLFAPL-1958-2012-CHING",130244175046.41
141,"27","NWWG-POLLIEG-1977-2012-CHING",285239709.049866
141,"27","WGHMM-HAKENRTN-1961-2011-CHING",2881695120.94962
141,"27","WGMHSA-MACKNEICES-1972-2007-JENNINGS",266765733222.794
141,"27","WGNPBW-BWHITNEA-1980-2012-CHING",267053378759.797
141,"27","WGNSDS-WHITVIa-1980-2012-CHING",551582394.423553
141,"27","WGNSSK-PLAICNS-1956-2010-NEUBAUER",2330112693.33667
141,"27","WGNSSK-POLLNS-VI-IIIa-1964-2012-CHING",2881695120.94962
141,"27","WGNSSK-SEELNSSA1-1983-2011-NEUBAUER",2330112693.33667
141,"27","WGNSSK-SEELNSSA2-1983-2011-NEUBAUER",2330112693.33667
141,"27","WGNSSK-SEELNSSA3-1983-2011-NEUBAUER",2330112693.33667
141,"27","WGNSSK-SOLENS-1956-2010-NEUBAUER",2330112693.33667
141,"27","WGNSSK-WHITNS-VIId-1989-2012-CHING",2330112726.52563
141,"27","WGWIDE-HERRNORSS-1988-2014-HIVELY",264263513046.163
143,"27","AFWG-CODNEAR-1946-2011-CHING",104033229189.174
143,"27","AFWG-HADNEAR-1947-2012-CHING",104033229189.174
143,"27","AFWG-POLLNEAR-1957-2012-CHING",104033229189.174
143,"27","NWWG-CODFAPL-1959-2012-CHING",27738408924.3652
143,"27","NWWG-CODICE-1952-2012-CHING",366939943422.142
143,"27","NWWG-HADFAPL-1955-2012-CHING",27738408924.3652
143,"27","NWWG-HADICE-1977-2012-CHING",366939943422.142
143,"27","NWWG-HERRIsum-1984-2011-NEUBAUER",366939943422.142
143,"27","NWWG-POLLFAPL-1958-2012-CHING",27738408924.3652
143,"27","NWWG-POLLIEG-1977-2012-CHING",366939943422.142
143,"27","WGMHSA-MACKNEICES-1972-2007-JENNINGS",390197024962.598
143,"27","WGNPBW-BWHITNEA-1980-2012-CHING",753722916509.776
143,"27","WGWIDE-HERRNORSS-1988-2014-HIVELY",537640359953.198
144,"27","AFWG-CODNEAR-1946-2011-CHING",267389382191.836
144,"27","AFWG-HADNEAR-1947-2012-CHING",267389382191.836
144,"27","AFWG-POLLNEAR-1957-2012-CHING",267389382191.836
144,"27","WGMHSA-MACKNEICES-1972-2007-JENNINGS",279123234350.183
144,"27","WGNPBW-BWHITNEA-1980-2012-CHING",293425934633.685
144,"27","WGWIDE-HERRNORSS-1988-2014-HIVELY",293425984922.136
145,"27","AFWG-CODNEAR-1946-2011-CHING",266559716891.44
