zone,sum
1,232
2,162
3,0
4,0
5,1647
6,1317
7,1394
8,838
9,1811
10,0
11,589
12,0
13,529
14,1397
15,16466
16,46362
17,10248
18,1182
19,0
20,64
21,9
24,4
25,1915
26,1492
28,1435
29,1694
30,0
31,14
32,1
33,0
34,0
35,1
36,0
37,100
38,8
39,2757
40,3191
41,777
42,6352
43,146
44,1
45,21
46,0
47,6243
48,15
49,4912
50,23588
51,1710
52,527
53,0
54,4789
55,0
56,0
57,0
58,2334
59,0
60,0
61,5719
62,3
63,0
64,2
65,0
66,1690
67,25
68,222
69,0
70,9
71,0
72,4
73,805
74,0
75,6655
76,14
77,9
78,2
79,12
80,581
81,101
82,48
84,45
85,0
86,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,5000
97,0
98,212
99,1567
100,0
101,0
102,487
103,1
104,0
105,0
106,3088
107,0
108,4
110,2451
111,1066
112,14731
113,51
114,818
115,346
116,746
117,77
118,22
119,65
120,293
121,17
122,9
123,566
124,94
125,10
126,25
127,1
129,1896
130,3
131,6217
132,477
133,2930
134,0
135,10578
136,2
137,0
138,0
139,1430
140,1445
141,0
143,18
144,0
145,3
146,0
147,786
148,0
149,0
150,0
151,480
152,1045
153,0
154,0
155,4170
156,0
157,0
158,0
159,0
161,0
162,32
163,14830
164,5369
166,887
167,0
168,1
169,0
171,558
172,0
173,0
174,47
175,913
176,474
177,18
178,4
179,1433
180,445
181,34
182,1711
183,0
184,6427
185,1
186,2
187,360
188,11
189,2
190,1175
191,2905
192,78
193,16904
194,14663
195,0
196,10019
197,0
198,0
199,0
200,660
202,75
203,3000
204,1
205,2806
206,680
207,55
208,127
209,8391
210,455
212,532
214,2792
215,1
216,19036
218,319
219,0
220,21
221,74
222,703
223,179
224,1
227,4
228,3
231,356
232,0
237,0
244,6
245,2
247,0
248,1
249,1
250,36
260,0
261,0
262,0
263,0
264,0
266,0
267,0
269,7352
270,0
272,0
273,0
274,0
275,0
276,0
277,0
248100,0
248200,0
248300,0
248400,0
248500,0
248600,0
258410,0
258420,0
258431,0
258432,0
258441,0
258442,0
258510,0
258520,0
258600,0
258700,0
288100,0
288200,0
288300,0
